chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction
chr21,34073745,34094136,+,34073745,34094136,clu_1122,clu_1154,chr21:34073745:34094136:+,1,7,8
chr21,34073268,34125340,+,34073268,34125340,clu_1118,clu_1168,chr21:34073268:34125340:+,7,25,32
chr21,34102908,34125340,+,34102908,34125340,clu_1130,clu_1168,chr21:34102908:34125340:+,11,51,62
chr21,34102908,34103496,+,34102908,34103496,clu_1130,clu_1160,chr21:34102908:34103496:+,9,100,109
chr21,34073745,34142407,+,34073745,34142407,clu_1122,clu_1171,chr21:34073745:34142407:+,3,54,57
chr21,34073745,34102834,+,34073745,34102834,clu_1122,clu_1159,chr21:34073745:34102834:+,23,190,213
chr21,15805258,15808808,+,15805258,15808808,clu_107,clu_110,chr21:15805258:15808808:+,1,19,20
chr21,34073745,34125340,+,34073745,34125340,clu_1122,clu_1168,chr21:34073745:34125340:+,114,1275,1389
chr21,34073745,34095930,+,34073745,34095930,clu_1122,clu_1156,chr21:34073745:34095930:+,0,8,8
chr21,15805258,15811136,+,15805258,15811136,clu_107,clu_111,chr21:15805258:15811136:+,1,4,5
chr21,34073268,34102834,+,34073268,34102834,clu_1118,clu_1159,chr21:34073268:34102834:+,1,17,18
chr21,34073745,34094862,+,34073745,34094862,clu_1122,clu_1155,chr21:34073745:34094862:+,4,102,106
chr21,33595836,33599149,-,33599149,33595836,clu_1045,clu_1060,chr21:33595836:33599149:-,1,4,5
chr21,33912399,33915727,-,33915727,33912399,clu_1105,clu_1135,chr21:33912399:33915727:-,0,9,9
chr21,33613606,33616705,-,33616705,33613606,clu_1051,clu_1075,chr21:33613606:33616705:-,53,446,499
chr21,33904021,33907340,-,33907340,33904021,clu_1089,clu_1121,chr21:33904021:33907340:-,672,6401,7073
chr21,33622068,33631485,-,33631485,33622068,clu_1057,clu_1081,chr21:33622068:33631485:-,3,4,7
chr21,33616603,33616705,-,33616705,33616603,clu_1051,clu_1077,chr21:33616603:33616705:-,10,128,138
chr21,33914500,33915727,-,33915727,33914500,clu_1105,clu_1138,chr21:33914500:33915727:-,625,5897,6522
chr21,33909211,33912288,-,33912288,33909211,clu_1097,clu_1132,chr21:33909211:33912288:-,666,6255,6921
chr21,33904021,33909081,-,33909081,33904021,clu_1094,clu_1121,chr21:33904021:33909081:-,1,4,5
chr21,33583666,33584589,-,33584589,33583666,clu_1014,clu_1043,chr21:33583666:33584589:-,0,7,7
chr21,33912399,33914449,-,33914449,33912399,clu_1099,clu_1135,chr21:33912399:33914449:-,668,6239,6907
chr21,33631557,33641680,-,33641680,33631557,clu_1060,clu_1085,chr21:33631557:33641680:-,56,515,571
chr21,33624760,33641680,-,33641680,33624760,clu_1060,clu_1082,chr21:33624760:33641680:-,1,5,6
chr21,33914510,33915727,-,33915727,33914510,clu_1105,clu_1140,chr21:33914510:33915727:-,0,6,6
chr21,33903656,33903934,-,33903934,33903656,clu_1085,clu_1120,chr21:33903656:33903934:-,7,117,124
chr21,33641305,33641680,-,33641680,33641305,clu_1060,clu_1088,chr21:33641305:33641680:-,0,6,6
chr21,33596213,33597279,-,33597279,33596213,clu_1044,clu_1064,chr21:33596213:33597279:-,0,18,18
chr21,33597401,33599149,-,33599149,33597401,clu_1045,clu_1067,chr21:33597401:33599149:-,50,448,498
chr21,33624760,33631485,-,33631485,33624760,clu_1057,clu_1082,chr21:33624760:33631485:-,57,567,624
chr21,33904021,33912288,-,33912288,33904021,clu_1097,clu_1121,chr21:33904021:33912288:-,5,49,54
chr21,33589921,33591161,-,33591161,33589921,clu_1019,clu_1049,chr21:33589921:33591161:-,38,366,404
chr21,33595528,33597279,-,33597279,33595528,clu_1044,clu_1058,chr21:33595528:33597279:-,3,29,32
chr21,33909211,33914449,-,33914449,33909211,clu_1099,clu_1132,chr21:33909211:33914449:-,0,5,5
chr21,33599248,33602233,-,33602233,33599248,clu_1046,clu_1069,chr21:33599248:33602233:-,52,441,493
chr21,33903639,33903934,-,33903934,33903639,clu_1085,clu_1119,chr21:33903639:33903934:-,674,6362,7036
chr21,33589921,33597279,-,33597279,33589921,clu_1044,clu_1049,chr21:33589921:33597279:-,1,4,5
chr21,33582055,33584589,-,33584589,33582055,clu_1014,clu_1041,chr21:33582055:33584589:-,1,5,6
chr21,33633725,33641680,-,33641680,33633725,clu_1060,clu_1087,chr21:33633725:33641680:-,2,17,19
chr21,33599285,33602233,-,33602233,33599285,clu_1046,clu_1070,chr21:33599285:33602233:-,1,12,13
chr21,33907453,33909081,-,33909081,33907453,clu_1094,clu_1128,chr21:33907453:33909081:-,672,6358,7030
chr21,33907453,33912288,-,33912288,33907453,clu_1097,clu_1128,chr21:33907453:33912288:-,4,50,54
chr21,33589805,33591161,-,33591161,33589805,clu_1019,clu_1048,chr21:33589805:33591161:-,1,9,10
chr21,33914508,33915727,-,33915727,33914508,clu_1105,clu_1139,chr21:33914508:33915727:-,0,5,5
chr21,33906500,33907340,-,33907340,33906500,clu_1089,clu_1124,chr21:33906500:33907340:-,1,14,15
chr21,33601334,33602233,-,33602233,33601334,clu_1046,clu_1071,chr21:33601334:33602233:-,0,7,7
chr21,33595836,33597279,-,33597279,33595836,clu_1044,clu_1060,chr21:33595836:33597279:-,46,396,442
chr21,33631527,33641680,-,33641680,33631527,clu_1060,clu_1083,chr21:33631527:33641680:-,0,11,11
