E/B/M_three.obs.logOR.ratio,E/B/M_obs.wt,E/B/M_obs.mut,E/B/M_total.reads.per.junction,E/B/M_three.wt.cluster.cov,E/B/M_three.mut.cluster.cov,intron_junction,Tcells_three.obs.logOR.ratio,Tcells_obs.wt,Tcells_obs.mut,Tcells_total.reads.per.junction,Tcells_three.wt.cluster.cov,Tcells_three.mut.cluster.cov,PreB_three.obs.logOR.ratio,PreB_obs.wt,PreB_obs.mut,PreB_total.reads.per.junction,PreB_three.wt.cluster.cov,PreB_three.mut.cluster.cov,DC_three.obs.logOR.ratio,DC_obs.wt,DC_obs.mut,DC_total.reads.per.junction,DC_three.wt.cluster.cov,DC_three.mut.cluster.cov,HSPC_three.obs.logOR.ratio,HSPC_obs.wt,HSPC_obs.mut,HSPC_total.reads.per.junction,HSPC_three.wt.cluster.cov,HSPC_three.mut.cluster.cov,IMP_three.obs.logOR.ratio,IMP_obs.wt,IMP_obs.mut,IMP_total.reads.per.junction,IMP_three.wt.cluster.cov,IMP_three.mut.cluster.cov,Bcells_three.obs.logOR.ratio,Bcells_obs.wt,Bcells_obs.mut,Bcells_total.reads.per.junction,Bcells_three.wt.cluster.cov,Bcells_three.mut.cluster.cov,NP_three.obs.logOR.ratio,NP_obs.wt,NP_obs.mut,NP_total.reads.per.junction,NP_three.wt.cluster.cov,NP_three.mut.cluster.cov,Mat_Mono_three.obs.logOR.ratio,Mat_Mono_obs.wt,Mat_Mono_obs.mut,Mat_Mono_total.reads.per.junction,Mat_Mono_three.wt.cluster.cov,Mat_Mono_three.mut.cluster.cov,MonoDC_three.obs.logOR.ratio,MonoDC_obs.wt,MonoDC_obs.mut,MonoDC_total.reads.per.junction,MonoDC_three.wt.cluster.cov,MonoDC_three.mut.cluster.cov,MkP_three.obs.logOR.ratio,MkP_obs.wt,MkP_obs.mut,MkP_total.reads.per.junction,MkP_three.wt.cluster.cov,MkP_three.mut.cluster.cov,MEP_three.obs.logOR.ratio,MEP_obs.wt,MEP_obs.mut,MEP_total.reads.per.junction,MEP_three.wt.cluster.cov,MEP_three.mut.cluster.cov,EP_three.obs.logOR.ratio,EP_obs.wt,EP_obs.mut,EP_total.reads.per.junction,EP_three.wt.cluster.cov,EP_three.mut.cluster.cov,None_three.obs.logOR.ratio,None_obs.wt,None_obs.mut,None_total.reads.per.junction,None_three.wt.cluster.cov,None_three.mut.cluster.cov,chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,obs.wt,obs.mut,total.reads.per.junction,None_pvalue,EP_pvalue,MEP_pvalue,MkP_pvalue,MonoDC_pvalue,Mat_Mono_pvalue,NP_pvalue,Bcells_pvalue,IMP_pvalue,HSPC_pvalue,DC_pvalue,PreB_pvalue,Tcells_pvalue,E/B/M_pvalue
NA,0,0,0,1,0,chr21:29024777:29025708:+,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,4,5,NA,0,0,0,1,3,NA,0,0,0,0,15,NA,0,0,0,0,0,NA,0,0,0,4,7,NA,0,0,0,8,30,NA,0,0,0,2,16,Inf,0,1,1,2,36,NA,0,0,0,10,119,-1.77405989212865,1,3,4,20,339,NA,0,0,0,1,52,chr21,29024777,29025708,+,29024777,29025708,clu_413,clu_417,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:29024777:29026566:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,1,1,0,2,NA,0,1,1,0,2,NA,0,0,0,0,0,NA,0,0,0,0,0,-0.693147180559945,0,0,0,0,3,NA,0,0,0,0,0,NA,0,0,0,0,4,Inf,0,1,1,0,10,-2.87860691631658,0,1,1,2,37,NA,0,1,1,0,13,chr21,29024777,29026566,+,29024777,29026566,clu_413,clu_418,2,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,1,1,0,chr21:29024777:29027872:+,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,4,7,11,4,7,NA,1,3,4,1,3,NA,1,16,17,1,16,NA,0,0,0,0,0,NA,4,7,11,4,7,0.693147180559945,8,32,40,8,32,NA,2,16,18,2,16,-Inf,2,36,38,2,37,-Inf,11,120,131,11,123,2.23061159336896,23,360,383,23,363,NA,1,57,58,1,57,chr21,29024777,29027872,+,29024777,29027872,clu_413,clu_419,50,613,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:29043599:29047227:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,0,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,1,1,1,7,NA,0,2,2,1,7,Inf,1,3,4,3,18,NA,0,1,1,0,4,chr21,29043599,29047227,+,29043599,29047227,clu_450,clu_445,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,1,1,0,chr21:29043599:29046666:+,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,1,4,5,3,7,NA,0,1,1,0,1,NA,0,12,12,0,13,NA,0,0,0,0,0,NA,1,3,4,3,5,NA,3,14,17,6,21,NA,0,3,3,1,11,NA,1,13,14,2,28,NA,2,57,59,8,103,-Inf,6,140,146,13,271,NA,0,20,20,1,44,chr21,29043599,29046666,+,29043599,29046666,clu_450,clu_443,2,67,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,1,0,chr21:29027974:29030594:+,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,4,5,NA,0,0,0,1,3,NA,0,0,0,0,15,NA,0,0,0,0,0,NA,0,0,0,4,7,NA,1,2,3,8,30,NA,0,0,0,2,16,-Inf,0,0,0,2,36,-Inf,0,3,3,10,119,-Inf,1,1,2,20,339,NA,0,0,0,1,52,chr21,29027974,29030594,+,29027974,29030594,clu_426,clu_422,58,655,713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,1,1,0,chr21:29027974:29030143:+,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,4,5,9,4,5,NA,1,3,4,1,3,NA,0,15,15,0,15,NA,0,0,0,0,0,NA,4,7,11,4,7,NA,7,28,35,8,30,NA,2,16,18,2,16,Inf,2,35,37,2,36,Inf,10,116,126,10,119,Inf,18,335,353,20,339,NA,1,52,53,1,52,chr21,29027974,29030143,+,29027974,29030143,clu_426,clu_421,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:14084144:14143508:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,1,0,1,1,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,Inf,1,6,7,1,7,Inf,1,5,6,1,7,-0.916290731874155,2,15,17,3,18,NA,0,3,3,0,4,chr21,14084144,14143508,+,14084144,14143508,clu_4,clu_15,1,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,1,0,chr21:14084144:14088608:+,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,2,3,5,3,7,NA,0,0,0,0,1,NA,0,1,1,0,13,NA,0,0,0,0,0,NA,2,2,4,3,5,NA,3,7,10,6,21,NA,1,8,9,1,11,-Inf,1,15,16,2,28,-Inf,6,46,52,8,103,0.916290731874155,7,131,138,13,271,NA,1,24,25,1,44,chr21,14084144,14088608,+,14084144,14088608,clu_4,clu_6,5,30,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,1,0,chr21:29036374:29037275:+,NA,0,0,0,0,0,NA,0,0,0,0,1,0.980829253011726,0,0,0,4,7,NA,0,0,0,1,3,NA,0,0,0,1,16,NA,0,0,0,0,0,1.09861228866811,0,0,0,4,7,0.693147180559945,0,0,0,8,32,Inf,0,0,0,2,16,-0.143100843640673,0,1,1,2,37,1.31302216001356,0,3,3,11,123,0.220595779235411,0,3,3,23,363,Inf,0,0,0,1,57,chr21,29036374,29037275,+,29036374,29037275,clu_433,clu_427,15,267,282,NA,NA,NA,NA,NA,0.126148738512615,NA,NA,NA,NA,NA,NA,NA,NA
