E/B/M_three.obs.logOR.ratio,E/B/M_obs.wt,E/B/M_obs.mut,E/B/M_total.reads.per.junction,E/B/M_three.wt.cluster.cov,E/B/M_three.mut.cluster.cov,intron_junction,Tcells_three.obs.logOR.ratio,Tcells_obs.wt,Tcells_obs.mut,Tcells_total.reads.per.junction,Tcells_three.wt.cluster.cov,Tcells_three.mut.cluster.cov,PreB_three.obs.logOR.ratio,PreB_obs.wt,PreB_obs.mut,PreB_total.reads.per.junction,PreB_three.wt.cluster.cov,PreB_three.mut.cluster.cov,DC_three.obs.logOR.ratio,DC_obs.wt,DC_obs.mut,DC_total.reads.per.junction,DC_three.wt.cluster.cov,DC_three.mut.cluster.cov,HSPC_three.obs.logOR.ratio,HSPC_obs.wt,HSPC_obs.mut,HSPC_total.reads.per.junction,HSPC_three.wt.cluster.cov,HSPC_three.mut.cluster.cov,IMP_three.obs.logOR.ratio,IMP_obs.wt,IMP_obs.mut,IMP_total.reads.per.junction,IMP_three.wt.cluster.cov,IMP_three.mut.cluster.cov,Bcells_three.obs.logOR.ratio,Bcells_obs.wt,Bcells_obs.mut,Bcells_total.reads.per.junction,Bcells_three.wt.cluster.cov,Bcells_three.mut.cluster.cov,NP_three.obs.logOR.ratio,NP_obs.wt,NP_obs.mut,NP_total.reads.per.junction,NP_three.wt.cluster.cov,NP_three.mut.cluster.cov,Mat_Mono_three.obs.logOR.ratio,Mat_Mono_obs.wt,Mat_Mono_obs.mut,Mat_Mono_total.reads.per.junction,Mat_Mono_three.wt.cluster.cov,Mat_Mono_three.mut.cluster.cov,MonoDC_three.obs.logOR.ratio,MonoDC_obs.wt,MonoDC_obs.mut,MonoDC_total.reads.per.junction,MonoDC_three.wt.cluster.cov,MonoDC_three.mut.cluster.cov,MkP_three.obs.logOR.ratio,MkP_obs.wt,MkP_obs.mut,MkP_total.reads.per.junction,MkP_three.wt.cluster.cov,MkP_three.mut.cluster.cov,MEP_three.obs.logOR.ratio,MEP_obs.wt,MEP_obs.mut,MEP_total.reads.per.junction,MEP_three.wt.cluster.cov,MEP_three.mut.cluster.cov,EP_three.obs.logOR.ratio,EP_obs.wt,EP_obs.mut,EP_total.reads.per.junction,EP_three.wt.cluster.cov,EP_three.mut.cluster.cov,None_three.obs.logOR.ratio,None_obs.wt,None_obs.mut,None_total.reads.per.junction,None_three.wt.cluster.cov,None_three.mut.cluster.cov,chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,obs.wt,obs.mut,total.reads.per.junction,None_pvalue,EP_pvalue,MEP_pvalue,MkP_pvalue,MonoDC_pvalue,Mat_Mono_pvalue,NP_pvalue,Bcells_pvalue,IMP_pvalue,HSPC_pvalue,DC_pvalue,PreB_pvalue,Tcells_pvalue,E/B/M_pvalue
NA,0,0,0,0,0,chr21:24441913:24443963:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,1,NA,0,2,2,0,4,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,0,1,1,1,3,Inf,0,1,1,1,2,Inf,0,1,1,1,7,NA,0,1,1,0,10,NA,0,0,0,0,0,chr21,24441913,24443963,+,24441913,24443963,clu_191,clu_193,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,1,0,1,chr21:24441913:24485622:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,2,6,8,2,6,NA,2,5,7,2,5,NA,7,26,33,7,27,NA,0,0,0,0,0,NA,3,20,23,3,20,NA,18,52,70,18,53,-Inf,6,12,18,6,13,-Inf,9,45,54,9,47,-Inf,26,173,199,26,178,NA,49,861,910,50,879,NA,2,134,136,2,135,chr21,24441913,24485622,+,24441913,24485622,clu_191,clu_196,3,22,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,1,0,1,chr21:42893381:42896926:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,5,5,0,5,NA,0,2,2,0,2,-Inf,2,12,14,2,12,NA,0,1,1,0,1,NA,1,5,6,1,5,-Inf,0,5,5,0,5,-Inf,1,10,11,1,10,-Inf,3,22,25,3,22,-Inf,7,141,148,7,143,-0.0240975515790604,33,610,643,33,612,-Inf,5,133,138,5,136,chr21,42893381,42896926,+,42893381,42896926,clu_1969,clu_1991,124,1335,1459,NA,0.976040239597604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:42893381:42908863:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,1,1,0,1,NA,0,2,2,0,4,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,1,2,3,1,3,Inf,1,1,2,1,2,Inf,1,6,7,1,7,Inf,0,9,9,0,10,NA,0,0,0,0,0,chr21,42893381,42908863,+,42893381,42908863,clu_1969,clu_1999,0,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,1,chr21:42893381:42903181:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,2,6,NA,0,0,0,2,5,Inf,0,0,0,7,27,NA,0,0,0,0,0,NA,0,0,0,3,20,Inf,0,0,0,18,53,NA,0,1,1,6,13,NA,0,2,2,9,47,Inf,0,2,2,26,178,-1.08835578850092,0,12,12,50,879,Inf,0,0,0,2,135,chr21,42893381,42903181,+,42893381,42903181,clu_1969,clu_1992,1,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:43793404:43795188:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,1,1,0,1,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,1,2,0,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,3,3,0,4,-Inf,2,15,17,2,19,-Inf,0,1,1,0,1,chr21,43793404,43795188,+,43793404,43795188,clu_2127,clu_2148,52,947,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:43793404:43797421:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,2,NA,0,0,0,1,4,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,1,0,1,1,2,NA,0,0,0,1,3,NA,0,0,0,0,5,Inf,0,1,1,2,19,Inf,0,6,6,6,70,Inf,0,0,0,0,5,chr21,43793404,43797421,+,43793404,43797421,clu_2127,clu_2149,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,1,0,1,chr21:43686935:43687515:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,2,2,7,NA,2,3,5,2,5,NA,1,15,16,8,27,NA,0,0,0,0,0,NA,1,7,8,4,19,NA,6,14,20,21,55,NA,5,4,9,7,12,NA,4,27,31,9,45,NA,9,82,91,27,186,-Inf,9,287,296,50,898,NA,2,46,48,3,141,chr21,43686935,43687515,+,43686935,43687515,clu_2077,clu_2110,3,21,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,1,chr21:43686935:43690287:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,5,NA,0,0,0,0,2,NA,0,0,0,2,12,NA,0,0,0,0,1,NA,0,0,0,1,5,NA,0,0,0,0,5,NA,0,0,0,1,10,NA,0,0,0,3,22,NA,0,2,2,7,143,Inf,0,2,2,33,612,NA,0,3,3,5,136,chr21,43686935,43690287,+,43686935,43690287,clu_2077,clu_2111,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,1,chr21:43018230:43021308:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,2,6,NA,0,0,0,2,5,NA,0,1,1,7,27,NA,0,0,0,0,0,NA,0,0,0,3,20,-Inf,0,1,1,18,53,NA,0,0,0,6,13,NA,0,0,0,9,47,Inf,0,3,3,26,178,Inf,1,6,7,50,879,NA,0,1,1,2,135,chr21,43018230,43021308,+,43018230,43021308,clu_2010,clu_2031,1,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
