E/B/M_three.obs.logOR.ratio,E/B/M_obs.wt,E/B/M_obs.mut,E/B/M_total.reads.per.junction,E/B/M_three.wt.cluster.cov,E/B/M_three.mut.cluster.cov,intron_junction,Tcells_three.obs.logOR.ratio,Tcells_obs.wt,Tcells_obs.mut,Tcells_total.reads.per.junction,Tcells_three.wt.cluster.cov,Tcells_three.mut.cluster.cov,PreB_three.obs.logOR.ratio,PreB_obs.wt,PreB_obs.mut,PreB_total.reads.per.junction,PreB_three.wt.cluster.cov,PreB_three.mut.cluster.cov,DC_three.obs.logOR.ratio,DC_obs.wt,DC_obs.mut,DC_total.reads.per.junction,DC_three.wt.cluster.cov,DC_three.mut.cluster.cov,HSPC_three.obs.logOR.ratio,HSPC_obs.wt,HSPC_obs.mut,HSPC_total.reads.per.junction,HSPC_three.wt.cluster.cov,HSPC_three.mut.cluster.cov,IMP_three.obs.logOR.ratio,IMP_obs.wt,IMP_obs.mut,IMP_total.reads.per.junction,IMP_three.wt.cluster.cov,IMP_three.mut.cluster.cov,Bcells_three.obs.logOR.ratio,Bcells_obs.wt,Bcells_obs.mut,Bcells_total.reads.per.junction,Bcells_three.wt.cluster.cov,Bcells_three.mut.cluster.cov,NP_three.obs.logOR.ratio,NP_obs.wt,NP_obs.mut,NP_total.reads.per.junction,NP_three.wt.cluster.cov,NP_three.mut.cluster.cov,Mat_Mono_three.obs.logOR.ratio,Mat_Mono_obs.wt,Mat_Mono_obs.mut,Mat_Mono_total.reads.per.junction,Mat_Mono_three.wt.cluster.cov,Mat_Mono_three.mut.cluster.cov,MonoDC_three.obs.logOR.ratio,MonoDC_obs.wt,MonoDC_obs.mut,MonoDC_total.reads.per.junction,MonoDC_three.wt.cluster.cov,MonoDC_three.mut.cluster.cov,MkP_three.obs.logOR.ratio,MkP_obs.wt,MkP_obs.mut,MkP_total.reads.per.junction,MkP_three.wt.cluster.cov,MkP_three.mut.cluster.cov,MEP_three.obs.logOR.ratio,MEP_obs.wt,MEP_obs.mut,MEP_total.reads.per.junction,MEP_three.wt.cluster.cov,MEP_three.mut.cluster.cov,EP_three.obs.logOR.ratio,EP_obs.wt,EP_obs.mut,EP_total.reads.per.junction,EP_three.wt.cluster.cov,EP_three.mut.cluster.cov,None_three.obs.logOR.ratio,None_obs.wt,None_obs.mut,None_total.reads.per.junction,None_three.wt.cluster.cov,None_three.mut.cluster.cov,chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,obs.wt,obs.mut,total.reads.per.junction,None_pvalue,EP_pvalue,MEP_pvalue,MkP_pvalue,MonoDC_pvalue,Mat_Mono_pvalue,NP_pvalue,Bcells_pvalue,IMP_pvalue,HSPC_pvalue,DC_pvalue,PreB_pvalue,Tcells_pvalue,E/B/M_pvalue
NA,0,0,0,0,0,chr21:41426263:41427754:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,1,1,0,NA,0,0,0,0,1,NA,0,0,0,0,0,NA,0,0,0,1,0,NA,0,0,0,0,2,0.559615787935423,1,7,8,2,11,NA,0,2,2,0,4,NA,0,1,1,0,1,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,1,0,chr21,41426263,41427754,+,41426263,41427754,clu_1732,clu_1767,2,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:41426263:41427205:+,NA,0,0,0,0,0,NA,1,0,1,2,0,NA,1,4,5,1,4,NA,1,2,3,1,4,NA,5,18,23,5,18,NA,0,0,0,0,0,NA,0,0,0,0,1,-0.559615787935423,7,7,14,8,9,NA,0,6,6,0,6,NA,5,31,36,6,32,NA,12,101,113,12,114,NA,39,444,483,42,480,NA,0,55,55,1,58,chr21,41426263,41427205,+,41426263,41427205,clu_1732,clu_1765,3,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:39380486:39390697:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,2,1,3,2,2,-Inf,0,2,2,0,2,NA,0,1,1,0,1,NA,1,0,1,1,0,NA,0,2,2,0,2,-0.693147180559945,6,13,19,7,20,NA,1,2,3,1,4,1.82454929205105,0,1,1,0,1,-Inf,0,0,0,0,0,-0.0526437334854219,0,1,1,0,2,Inf,1,0,1,1,0,chr21,39380486,39390697,+,39380486,39390697,clu_1640,clu_1684,71,668,739,NA,0.94660053399466,0.256877431225688,NA,NA,0.320746792532075,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:39380486:39391768:+,NA,0,0,0,0,0,NA,1,0,1,2,0,NA,0,2,2,1,5,Inf,0,2,2,1,4,NA,0,1,1,5,25,NA,0,0,0,1,0,NA,0,1,1,1,2,0.693147180559945,4,5,9,8,14,NA,0,3,3,1,10,-1.82454929205105,2,8,10,8,55,Inf,1,24,25,14,165,0.0526437334854219,6,85,91,62,720,-Inf,1,13,14,1,96,chr21,39380486,39391768,+,39380486,39391768,clu_1640,clu_1687,7,58,65,NA,0.94660053399466,0.256877431225688,NA,NA,0.320746792532075,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:41430608:41432049:+,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,0,NA,1,2,3,1,2,-1.17272026082183,0,2,2,0,2,-Inf,0,0,0,0,0,NA,1,5,6,1,6,NA,0,9,9,0,10,NA,1,28,29,2,29,NA,0,0,0,0,0,chr21,41430608,41432049,+,41430608,41432049,clu_1737,clu_1771,11,23,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:41430608:41432030:+,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,0,0,0,1,0,NA,0,1,1,0,2,NA,0,0,0,0,1,NA,0,0,0,0,0,NA,0,1,1,0,1,1.17272026082183,0,2,2,5,9,Inf,0,0,0,0,1,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,2,NA,0,0,0,0,0,chr21,41430608,41432030,+,41430608,41432030,clu_1737,clu_1770,1,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:39391836:39396865:+,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,1,0,1,1,0,Inf,0,1,1,0,2,Inf,0,1,1,0,1,NA,0,0,0,0,0,Inf,0,0,0,0,1,-0.587786664902119,5,7,12,5,9,Inf,0,1,1,0,1,-0.672093771362113,0,0,0,0,0,0.794243297431314,0,0,0,0,0,0.222618479104719,0,1,1,0,2,-Inf,0,0,0,0,0,chr21,39391836,39396865,+,39391836,39396865,clu_1652,clu_1690,15,144,159,NA,0.663653363466365,0.249447505524945,0.456465435345647,NA,0.185238147618524,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:39391836:39462374:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,0,1,1,0,1,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,13,14,1,14,Inf,4,99,103,4,108,Inf,0,18,18,0,20,chr21,39391836,39462374,+,39391836,39462374,clu_1652,clu_1718,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:39391836:39393165:+,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,1,1,2,2,-Inf,0,0,0,0,2,-Inf,0,0,0,0,1,NA,0,0,0,1,0,-Inf,0,0,0,0,2,0.287682072451781,1,7,8,7,20,-Inf,0,2,2,1,4,0.672093771362113,0,0,0,0,1,-0.794243297431314,0,0,0,0,0,-0.274922728698021,0,1,1,0,2,Inf,0,0,0,1,0,chr21,39391836,39393165,+,39391836,39393165,clu_1652,clu_1689,90,946,1036,NA,0.586894131058689,0.244827551724483,0.45319546804532,NA,0.503814961850382,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:39499915:39508997:+,NA,0,0,0,0,0,NA,1,0,1,2,0,NA,0,0,0,1,4,NA,0,2,2,1,4,NA,0,0,0,5,18,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,1,2,3,8,9,NA,0,0,0,0,6,-Inf,1,1,2,6,32,NA,0,13,13,12,114,3.3322045101752,3,36,39,42,480,NA,1,3,4,1,58,chr21,39499915,39508997,+,39499915,39508997,clu_1686,clu_1723,3,46,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
