E/B/M_three.obs.logOR.ratio,E/B/M_obs.wt,E/B/M_obs.mut,E/B/M_total.reads.per.junction,E/B/M_three.wt.cluster.cov,E/B/M_three.mut.cluster.cov,intron_junction,Tcells_three.obs.logOR.ratio,Tcells_obs.wt,Tcells_obs.mut,Tcells_total.reads.per.junction,Tcells_three.wt.cluster.cov,Tcells_three.mut.cluster.cov,PreB_three.obs.logOR.ratio,PreB_obs.wt,PreB_obs.mut,PreB_total.reads.per.junction,PreB_three.wt.cluster.cov,PreB_three.mut.cluster.cov,DC_three.obs.logOR.ratio,DC_obs.wt,DC_obs.mut,DC_total.reads.per.junction,DC_three.wt.cluster.cov,DC_three.mut.cluster.cov,HSPC_three.obs.logOR.ratio,HSPC_obs.wt,HSPC_obs.mut,HSPC_total.reads.per.junction,HSPC_three.wt.cluster.cov,HSPC_three.mut.cluster.cov,IMP_three.obs.logOR.ratio,IMP_obs.wt,IMP_obs.mut,IMP_total.reads.per.junction,IMP_three.wt.cluster.cov,IMP_three.mut.cluster.cov,Bcells_three.obs.logOR.ratio,Bcells_obs.wt,Bcells_obs.mut,Bcells_total.reads.per.junction,Bcells_three.wt.cluster.cov,Bcells_three.mut.cluster.cov,NP_three.obs.logOR.ratio,NP_obs.wt,NP_obs.mut,NP_total.reads.per.junction,NP_three.wt.cluster.cov,NP_three.mut.cluster.cov,Mat_Mono_three.obs.logOR.ratio,Mat_Mono_obs.wt,Mat_Mono_obs.mut,Mat_Mono_total.reads.per.junction,Mat_Mono_three.wt.cluster.cov,Mat_Mono_three.mut.cluster.cov,MonoDC_three.obs.logOR.ratio,MonoDC_obs.wt,MonoDC_obs.mut,MonoDC_total.reads.per.junction,MonoDC_three.wt.cluster.cov,MonoDC_three.mut.cluster.cov,MkP_three.obs.logOR.ratio,MkP_obs.wt,MkP_obs.mut,MkP_total.reads.per.junction,MkP_three.wt.cluster.cov,MkP_three.mut.cluster.cov,MEP_three.obs.logOR.ratio,MEP_obs.wt,MEP_obs.mut,MEP_total.reads.per.junction,MEP_three.wt.cluster.cov,MEP_three.mut.cluster.cov,EP_three.obs.logOR.ratio,EP_obs.wt,EP_obs.mut,EP_total.reads.per.junction,EP_three.wt.cluster.cov,EP_three.mut.cluster.cov,None_three.obs.logOR.ratio,None_obs.wt,None_obs.mut,None_total.reads.per.junction,None_three.wt.cluster.cov,None_three.mut.cluster.cov,chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,obs.wt,obs.mut,total.reads.per.junction,None_pvalue,EP_pvalue,MEP_pvalue,MkP_pvalue,MonoDC_pvalue,Mat_Mono_pvalue,NP_pvalue,Bcells_pvalue,IMP_pvalue,HSPC_pvalue,DC_pvalue,PreB_pvalue,Tcells_pvalue,E/B/M_pvalue
NA,0,1,1,0,1,chr21:43802387:43803511:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,5,5,0,5,NA,0,2,2,0,2,NA,2,11,13,2,11,NA,0,1,1,0,1,NA,1,4,5,1,4,NA,0,5,5,0,6,NA,1,9,10,1,9,NA,4,20,24,4,20,-Inf,7,142,149,7,143,2.32378730064465,28,572,600,30,576,-Inf,5,129,134,5,130,chr21,43802387,43803511,+,43802387,43803511,clu_2150,clu_2167,48,901,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:43802387:43803517:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,1,2,NA,0,4,4,0,5,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,2,0,3,Inf,0,0,0,0,3,-2.32378730064465,2,3,5,2,12,Inf,0,0,0,0,0,chr21,43802387,43803517,+,43802387,43803517,clu_2150,clu_2168,2,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,1,0,1,chr21:46229266:46240833:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,6,6,0,6,Inf,0,2,2,0,2,NA,2,11,13,2,11,NA,0,1,1,0,1,NA,1,4,5,1,5,NA,0,6,6,0,6,NA,1,9,10,1,9,NA,3,19,22,3,21,NA,5,145,150,7,147,-Inf,34,620,654,34,626,NA,5,136,141,5,137,chr21,46229266,46240833,+,46229266,46240833,clu_2686,clu_2695,2,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:46229266:46236223:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,1,2,3,1,2,NA,0,2,2,0,2,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,3,NA,0,5,5,0,6,Inf,0,12,12,0,15,NA,0,0,0,0,0,chr21,46229266,46236223,+,46229266,46236223,clu_2686,clu_2689,1,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:43800614:43800861:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,1,2,1,2,NA,0,1,1,0,5,NA,0,0,0,0,0,-Inf,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,1,1,0,3,3.36729582998647,0,3,3,0,3,-Inf,0,9,9,2,12,-Inf,0,0,0,0,0,chr21,43800614,43800861,+,43800614,43800861,clu_2145,clu_2161,51,960,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:43800614:43802273:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,2,NA,0,0,0,0,2,NA,0,0,0,0,0,Inf,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,0,2,2,0,3,-3.36729582998647,0,1,1,0,6,Inf,0,3,3,0,15,Inf,0,0,0,0,0,chr21,43800614,43802273,+,43800614,43802273,clu_2145,clu_2163,2,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,1,chr21:46236326:46240833:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,6,NA,0,0,0,0,2,NA,0,0,0,2,11,NA,0,0,0,0,1,NA,0,1,1,1,5,NA,0,0,0,0,6,NA,0,0,0,1,9,NA,0,2,2,3,21,NA,2,2,4,7,147,NA,0,6,6,34,626,NA,0,1,1,5,137,chr21,46236326,46240833,+,46236326,46240833,clu_2690,clu_2695,1,22,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:46236326:46240836:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,NA,1,0,1,1,0,NA,0,1,1,0,1,NA,0,0,0,0,0,NA,1,10,11,1,11,NA,3,22,25,5,35,NA,0,6,6,0,6,chr21,46236326,46240836,+,46236326,46240836,clu_2690,clu_2696,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,1,chr21:44967181:44973196:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,5,NA,0,0,0,0,2,NA,0,0,0,2,11,NA,0,0,0,0,1,NA,0,0,0,1,4,NA,0,1,1,0,6,NA,0,0,0,1,9,NA,0,0,0,4,20,-Inf,0,1,1,7,143,0.120627987788615,2,4,6,30,576,NA,0,1,1,5,130,chr21,44967181,44973196,+,44967181,44973196,clu_2470,clu_2484,5,39,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:44967181:44973199:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,1,1,0,NA,0,0,0,1,0,NA,0,0,0,0,1,NA,0,0,0,0,0,Inf,0,1,1,1,11,-0.120627987788615,2,13,15,5,35,NA,0,0,0,0,6,chr21,44967181,44973199,+,44967181,44973199,clu_2470,clu_2485,3,14,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
