E/B/M_three.obs.logOR.ratio,E/B/M_obs.wt,E/B/M_obs.mut,E/B/M_total.reads.per.junction,E/B/M_three.wt.cluster.cov,E/B/M_three.mut.cluster.cov,intron_junction,Tcells_three.obs.logOR.ratio,Tcells_obs.wt,Tcells_obs.mut,Tcells_total.reads.per.junction,Tcells_three.wt.cluster.cov,Tcells_three.mut.cluster.cov,PreB_three.obs.logOR.ratio,PreB_obs.wt,PreB_obs.mut,PreB_total.reads.per.junction,PreB_three.wt.cluster.cov,PreB_three.mut.cluster.cov,DC_three.obs.logOR.ratio,DC_obs.wt,DC_obs.mut,DC_total.reads.per.junction,DC_three.wt.cluster.cov,DC_three.mut.cluster.cov,HSPC_three.obs.logOR.ratio,HSPC_obs.wt,HSPC_obs.mut,HSPC_total.reads.per.junction,HSPC_three.wt.cluster.cov,HSPC_three.mut.cluster.cov,IMP_three.obs.logOR.ratio,IMP_obs.wt,IMP_obs.mut,IMP_total.reads.per.junction,IMP_three.wt.cluster.cov,IMP_three.mut.cluster.cov,Bcells_three.obs.logOR.ratio,Bcells_obs.wt,Bcells_obs.mut,Bcells_total.reads.per.junction,Bcells_three.wt.cluster.cov,Bcells_three.mut.cluster.cov,NP_three.obs.logOR.ratio,NP_obs.wt,NP_obs.mut,NP_total.reads.per.junction,NP_three.wt.cluster.cov,NP_three.mut.cluster.cov,Mat_Mono_three.obs.logOR.ratio,Mat_Mono_obs.wt,Mat_Mono_obs.mut,Mat_Mono_total.reads.per.junction,Mat_Mono_three.wt.cluster.cov,Mat_Mono_three.mut.cluster.cov,MonoDC_three.obs.logOR.ratio,MonoDC_obs.wt,MonoDC_obs.mut,MonoDC_total.reads.per.junction,MonoDC_three.wt.cluster.cov,MonoDC_three.mut.cluster.cov,MkP_three.obs.logOR.ratio,MkP_obs.wt,MkP_obs.mut,MkP_total.reads.per.junction,MkP_three.wt.cluster.cov,MkP_three.mut.cluster.cov,MEP_three.obs.logOR.ratio,MEP_obs.wt,MEP_obs.mut,MEP_total.reads.per.junction,MEP_three.wt.cluster.cov,MEP_three.mut.cluster.cov,EP_three.obs.logOR.ratio,EP_obs.wt,EP_obs.mut,EP_total.reads.per.junction,EP_three.wt.cluster.cov,EP_three.mut.cluster.cov,None_three.obs.logOR.ratio,None_obs.wt,None_obs.mut,None_total.reads.per.junction,None_three.wt.cluster.cov,None_three.mut.cluster.cov,chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,obs.wt,obs.mut,total.reads.per.junction,None_pvalue,EP_pvalue,MEP_pvalue,MkP_pvalue,MonoDC_pvalue,Mat_Mono_pvalue,NP_pvalue,Bcells_pvalue,IMP_pvalue,HSPC_pvalue,DC_pvalue,PreB_pvalue,Tcells_pvalue,E/B/M_pvalue
NA,0,0,0,0,1,chr21:33546379:33548629:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,4,Inf,0,1,1,4,9,NA,0,0,0,0,0,NA,0,0,0,2,4,NA,0,0,0,5,22,NA,0,0,0,2,6,-3.58351893845611,2,1,3,3,19,-1.15923691048454,1,2,3,9,53,Inf,0,5,5,14,200,Inf,0,1,1,1,25,chr21,33546379,33548629,+,33546379,33548629,clu_970,clu_1001,3,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,1,0,1,chr21:33546379:33549475:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,2,1,4,NA,1,0,1,1,1,-Inf,2,3,5,2,7,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,3,3,6,4,9,NA,0,2,2,0,5,3.58351893845611,0,6,6,3,15,1.15923691048454,1,18,19,2,42,-Inf,2,62,64,7,146,-Inf,0,19,19,0,34,chr21,33546379,33549475,+,33546379,33549475,clu_970,clu_1002,37,334,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,1,chr21:33575893:33576364:+,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,1,2,3,1,4,-Inf,0,1,1,1,1,-Inf,0,4,4,2,7,NA,0,0,0,0,0,NA,0,0,0,0,0,-1.79175946922805,1,6,7,4,9,NA,0,3,3,0,5,Inf,3,9,12,3,15,-0.287682072451781,1,24,25,2,42,0.612608318075933,5,84,89,7,146,NA,0,15,15,0,34,chr21,33575893,33576364,+,33575893,33576364,clu_995,clu_1028,9,116,125,NA,NA,NA,NA,NA,0.009559904400956,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33575893:33576417:+,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,0,0,0,0,Inf,0,0,0,0,0,Inf,1,1,2,1,1,NA,0,0,0,0,0,NA,0,3,3,0,3,1.79175946922805,2,3,5,2,3,NA,0,1,1,0,1,-Inf,0,3,3,0,3,0.287682072451781,2,11,13,2,11,-0.612608318075933,2,33,35,2,38,NA,1,7,8,1,7,chr21,33575893,33576417,+,33575893,33576417,clu_995,clu_1030,11,148,159,NA,NA,NA,NA,NA,0.009559904400956,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33557316:33559229:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,2,3,NA,0,0,0,1,1,NA,0,0,0,0,2,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,2,2,8,20,NA,0,1,1,1,5,NA,0,1,1,4,12,NA,0,1,1,5,33,-Inf,0,6,6,7,81,NA,0,1,1,0,6,chr21,33557316,33559229,+,33557316,33559229,clu_983,clu_1016,8,62,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33557316:33557545:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,4,NA,0,0,0,1,1,NA,0,0,0,0,4,NA,0,0,0,0,1,NA,0,0,0,0,4,NA,0,2,2,10,17,NA,0,0,0,2,8,NA,0,0,0,1,7,NA,0,1,1,3,49,Inf,0,3,3,11,178,NA,0,0,0,1,26,chr21,33557316,33557545,+,33557316,33557545,clu_983,clu_1014,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33268517:33279751:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,1,0,1,1,0,NA,1,2,3,1,2,NA,0,0,0,0,0,NA,0,6,6,0,6,Inf,3,5,8,3,5,Inf,0,2,2,0,2,Inf,0,7,7,0,7,Inf,1,19,20,1,20,Inf,6,85,91,6,87,NA,0,16,16,0,18,chr21,33268517,33279751,+,33268517,33279751,clu_856,clu_861,0,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33268517:33276595:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,1,0,NA,0,0,0,1,3,NA,0,0,0,0,0,NA,0,0,0,0,6,-Inf,0,0,0,4,4,-Inf,0,0,0,0,2,-Inf,1,3,4,1,10,-Inf,1,3,4,2,17,-Inf,1,19,20,7,79,NA,0,3,3,0,17,chr21,33268517,33276595,+,33268517,33276595,clu_856,clu_859,28,152,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,1,0,1,chr21:33341174:33345245:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,4,4,0,4,NA,4,8,12,4,9,NA,0,0,0,0,0,NA,2,4,6,2,4,Inf,5,22,27,5,22,NA,2,6,8,2,6,NA,1,18,19,3,19,Inf,8,51,59,9,53,Inf,14,195,209,14,200,NA,1,24,25,1,25,chr21,33341174,33345245,+,33341174,33345245,clu_873,clu_887,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33341174:33343534:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,1,0,1,1,0,NA,1,3,4,1,3,NA,0,0,0,0,0,NA,0,6,6,0,6,NA,4,4,8,4,4,Inf,0,2,2,0,2,Inf,0,7,7,1,10,-1.72722094809048,1,14,15,2,17,-0.238411023444998,6,60,66,7,79,NA,0,14,14,0,17,chr21,33341174,33343534,+,33341174,33343534,clu_873,clu_884,2,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
