chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction,pvalue,three.log.odds.ratio,three.mut.cluster.cov,three.wt.cluster.cov
chr21,29024777,29025708,+,29024777,29025708,clu_413,clu_417,chr21:29024777:29025708:+,1,4,5,0.675363246367536,-1.09056719298328,623,53
chr21,29043599,29047227,+,29043599,29047227,clu_450,clu_445,chr21:29043599:29047227:+,0,5,5,NA,Inf,72,2
chr21,29027974,29030594,+,29027974,29030594,clu_426,clu_422,chr21:29027974:29030594:+,58,655,713,0.435625643743563,-Inf,662,58
chr21,14084144,14143508,+,14084144,14143508,clu_4,clu_15,chr21:14084144:14143508:+,1,8,9,NA,0.287682072451781,38,6
chr21,29036374,29037275,+,29036374,29037275,clu_433,clu_427,chr21:29036374:29037275:+,15,267,282,0.054209457905421,0.542421999555714,505,38
chr21,29024777,29026566,+,29024777,29026566,clu_413,clu_418,chr21:29024777:29026566:+,2,6,8,0.284147158528415,-1.39443110251295,623,53
chr21,29024777,29027872,+,29024777,29027872,clu_413,clu_419,chr21:29024777:29027872:+,50,613,663,0.125578744212558,1.30236912618213,623,53
chr21,14084144,14088608,+,14084144,14088608,clu_4,clu_6,chr21:14084144:14088608:+,5,30,35,NA,-0.287682072451781,38,6
chr21,29036374,29037278,+,29036374,29037278,clu_433,clu_428,chr21:29036374:29037278:+,23,238,261,0.054209457905421,-0.542421999555715,505,38
chr21,29027974,29030143,+,29027974,29030143,clu_426,clu_421,chr21:29027974:29030143:+,0,7,7,0.435625643743563,Inf,662,58
chr21,29043599,29046666,+,29043599,29046666,clu_450,clu_443,chr21:29043599:29046666:+,2,67,69,NA,-Inf,72,2
chr21,29062415,29062489,-,29062489,29062415,clu_486,clu_508,chr21:29062415:29062489:-,646,7586,8232,0.650293497065029,-Inf,7591,646
chr21,29008307,29008394,-,29008394,29008307,clu_405,clu_408,chr21:29008307:29008394:-,6,142,148,0.037569624303757,1.12099369086424,196,13
chr21,28986228,28986726,-,28986726,28986228,clu_384,clu_398,chr21:28986228:28986726:-,0,14,14,NA,Inf,61,2
chr21,28971721,28972215,-,28972215,28971721,clu_374,clu_390,chr21:28971721:28972215:-,0,9,9,NA,Inf,32,3
chr21,28956887,28957331,-,28957331,28956887,clu_357,clu_371,chr21:28956887:28957331:-,1,4,5,NA,-1.41706601978664,37,3
chr21,28969601,28970551,-,28970551,28969601,clu_370,clu_387,chr21:28969601:28970551:-,28,306,334,0.314686853131469,-Inf,316,28
chr21,14512573,14521149,-,14521149,14512573,clu_43,clu_49,chr21:14512573:14521149:-,16,99,115,0.32809671903281,-0.353302259460093,284,37
