chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction,pvalue,three.log.odds.ratio,three.mut.cluster.cov,three.wt.cluster.cov
chr21,43802387,43803511,+,43802387,43803511,clu_2150,clu_2167,chr21:43802387:43803511:+,48,901,949,0.356306436935631,1.67954127820508,908,50
chr21,46229266,46240833,+,46229266,46240833,clu_2686,clu_2695,chr21:46229266:46240833:+,2,10,12,NA,-1.09861228866811,25,3
chr21,43800614,43800861,+,43800614,43800861,clu_2145,clu_2161,chr21:43800614:43800861:+,51,960,1011,0.252477475225248,1.1433481825095,972,53
chr21,46236326,46240833,+,46236326,46240833,clu_2690,clu_2695,chr21:46236326:46240833:+,1,22,23,NA,-Inf,28,1
chr21,46229266,46236223,+,46229266,46236223,clu_2686,clu_2689,chr21:46229266:46236223:+,1,15,16,NA,1.09861228866811,25,3
chr21,46236326,46240836,+,46236326,46240836,clu_2690,clu_2696,chr21:46236326:46240836:+,0,6,6,NA,Inf,28,1
chr21,43800614,43802273,+,43800614,43802273,clu_2145,clu_2163,chr21:43800614:43802273:+,2,12,14,0.252477475225248,-1.1433481825095,972,53
chr21,44967181,44973196,+,44967181,44973196,clu_2470,clu_2484,chr21:44967181:44973196:+,5,39,44,NA,0.513678692748397,53,8
chr21,43802387,43803517,+,43802387,43803517,clu_2150,clu_2168,chr21:43802387:43803517:+,2,7,9,0.356306436935631,-1.67954127820508,908,50
chr21,44967181,44973199,+,44967181,44973199,clu_2470,clu_2485,chr21:44967181:44973199:+,3,14,17,NA,-0.513678692748397,53,8
chr21,44856364,44865394,-,44865394,44856364,clu_2389,clu_2406,chr21:44856364:44865394:-,3,2,5,0.628013719862801,-2.70805020110221,62,9
chr21,44909491,44910283,-,44910283,44909491,clu_2427,clu_2451,chr21:44909491:44910283:-,5,14,19,0.790392096079039,-0.135067098070951,405,127
chr21,44801398,44801705,-,44801705,44801398,clu_2354,clu_2376,chr21:44801398:44801705:-,0,46,46,0.00908990910090901,Inf,870,64
chr21,44779216,44787919,-,44787919,44779216,clu_2347,clu_2369,chr21:44779216:44787919:-,0,18,18,0.190338096619034,Inf,859,67
chr21,25599836,25601367,-,25601367,25599836,clu_218,clu_231,chr21:25599836:25601367:-,1,16,17,0.916380836191638,0.259511195485085,1744,141
chr21,44788095,44801705,-,44801705,44788095,clu_2354,clu_2371,chr21:44788095:44801705:-,64,819,883,0.00531994680053205,-Inf,870,64
chr21,25734244,25734852,-,25734852,25734244,clu_266,clu_279,chr21:25734244:25734852:-,0,7,7,0.540234597654023,Inf,6863,647
chr21,45516140,45525816,-,45525816,45516140,clu_2582,clu_2591,chr21:45516140:45525816:-,2,35,37,NA,0.349895256953354,72,5
chr21,44771489,44773546,-,44773546,44771489,clu_2335,clu_2364,chr21:44771489:44773546:-,72,814,886,0.410635893641064,-Inf,822,72
chr21,25601467,25606448,-,25606448,25601467,clu_227,clu_236,chr21:25601467:25606448:-,1,10,11,0.67850321496785,-0.217912501896657,1726,139
chr21,25599866,25601367,-,25601367,25599866,clu_218,clu_233,chr21:25599866:25601367:-,140,1728,1868,0.916380836191638,-0.259511195485085,1744,141
chr21,44809118,44817947,-,44817947,44809118,clu_2373,clu_2390,chr21:44809118:44817947:-,2,6,8,0.469555304446955,-1.19500413434318,561,58
chr21,44908182,44910283,-,44910283,44908182,clu_2427,clu_2450,chr21:44908182:44910283:-,69,188,257,0.287807121928781,-0.31711888476135,405,127
chr21,44861271,44865394,-,44865394,44861271,clu_2389,clu_2407,chr21:44861271:44865394:-,6,60,66,0.628013719862801,2.70805020110221,62,9
chr21,25603935,25607402,-,25607402,25603935,clu_234,clu_240,chr21:25603935:25607402:-,0,5,5,0.638663613363866,Inf,1633,133
chr21,25603935,25606448,-,25606448,25603935,clu_227,clu_240,chr21:25603935:25606448:-,138,1716,1854,0.67850321496785,0.217912501896657,1726,139
chr21,25734375,25734852,-,25734852,25734375,clu_266,clu_280,chr21:25734375:25734852:-,32,266,298,0.205017949820502,-0.25498760543438,6863,647
chr21,44893544,44894970,-,44894970,44893544,clu_2411,clu_2439,chr21:44893544:44894970:-,68,219,287,0.173048269517305,1.57502913274856,221,71
chr21,44910372,44910724,-,44910724,44910372,clu_2430,clu_2453,chr21:44910372:44910724:-,119,362,481,0.964510354896451,0.0139084300461319,392,129
chr21,44770053,44773546,-,44773546,44770053,clu_2335,clu_2353,chr21:44770053:44773546:-,0,8,8,0.410635893641064,Inf,822,72
chr21,44893467,44894970,-,44894970,44893467,clu_2411,clu_2438,chr21:44893467:44894970:-,3,2,5,0.173048269517305,-1.57502913274856,221,71
chr21,25606655,25607402,-,25607402,25606655,clu_234,clu_246,chr21:25606655:25607402:-,133,1628,1761,0.638663613363866,-Inf,1633,133
chr21,25733363,25734852,-,25734852,25733363,clu_266,clu_277,chr21:25733363:25734852:-,0,9,9,0.499075009249908,Inf,6863,647
chr21,44910415,44910724,-,44910724,44910415,clu_2430,clu_2454,chr21:44910415:44910724:-,10,30,40,0.964510354896451,-0.0139084300461321,392,129
chr21,46235426,46236828,-,46236828,46235426,clu_2692,clu_2687,chr21:46235426:46236828:-,12,129,141,0.966150338496615,0.0723206615796261,139,13
chr21,44777417,44787919,-,44787919,44777417,clu_2347,clu_2368,chr21:44777417:44787919:-,67,841,908,0.190338096619034,-Inf,859,67
chr21,25729801,25734852,-,25734852,25729801,clu_266,clu_275,chr21:25729801:25734852:-,594,6392,6986,0.210977890221098,0.19135698761917,6863,647
chr21,45515152,45525816,-,45525816,45515152,clu_2582,clu_2581,chr21:45515152:45525816:-,3,37,40,NA,-0.349895256953354,72,5
chr21,44799480,44801705,-,44801705,44799480,clu_2354,clu_2373,chr21:44799480:44801705:-,0,5,5,0.589194108058919,Inf,870,64
chr21,44907095,44910283,-,44910283,44907095,clu_2427,clu_2449,chr21:44907095:44910283:-,53,203,256,0.269147308526915,0.338711461292631,405,127
chr21,46235446,46236828,-,46236828,46235446,clu_2692,clu_2688,chr21:46235446:46236828:-,1,10,11,0.966150338496615,-0.0723206615796261,139,13
chr21,44814104,44817947,-,44817947,44814104,clu_2373,clu_2392,chr21:44814104:44817947:-,56,555,611,0.469555304446955,1.19500413434318,561,58
chr21,25734398,25734852,-,25734852,25734398,clu_266,clu_281,chr21:25734398:25734852:-,21,189,210,0.463135368646314,-0.169399710875001,6863,647
