chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction,pvalue,three.log.odds.ratio,three.mut.cluster.cov,three.wt.cluster.cov
chr21,31659841,31667257,+,31659841,31667257,clu_621,clu_625,chr21:31659841:31667257:+,2,21,23,0.992430075699243,-0.0838523035915133,14157,1240
chr21,31659841,31663789,+,31659841,31663789,clu_621,clu_614,chr21:31659841:31663789:+,1194,13694,14888,0.392046079539205,0.130563108131322,14157,1240
chr21,29092581,29149188,+,29092581,29149188,clu_553,clu_558,chr21:29092581:29149188:+,0,6,6,NA,NA,26,0
chr21,31659841,31663794,+,31659841,31663794,clu_621,clu_615,chr21:31659841:31663794:+,37,317,354,0.115458845411546,-0.294760651963926,14157,1240
chr21,29298953,29321220,+,29298953,29321220,clu_566,clu_563,chr21:29298953:29321220:+,13,101,114,0.356866431335687,0.370528988272374,160,24
chr21,31659786,31663794,+,31659786,31663794,clu_619,clu_615,chr21:31659786:31663794:+,0,5,5,NA,Inf,16,3
chr21,31659841,31663810,+,31659841,31663810,clu_621,clu_617,chr21:31659841:31663810:+,0,5,5,0.616913830861691,Inf,14157,1240
chr21,29092581,29109039,+,29092581,29109039,clu_553,clu_554,chr21:29092581:29109039:+,0,20,20,NA,NA,26,0
chr21,31659841,31666448,+,31659841,31666448,clu_621,clu_622,chr21:31659841:31666448:+,6,106,112,0.179108208917911,0.439246982743005,14157,1240
chr21,31659786,31663789,+,31659786,31663789,clu_619,clu_614,chr21:31659786:31663789:+,3,11,14,NA,-Inf,16,3
chr21,29298953,29305203,+,29298953,29305203,clu_566,clu_562,chr21:29298953:29305203:+,11,59,70,0.356866431335687,-0.370528988272374,160,24
chr21,31659841,31660554,+,31659841,31660554,clu_621,clu_611,chr21:31659841:31660554:+,1,14,15,0.999980000199998,0.204142130223901,14157,1240
chr21,15385689,15390577,-,15390577,15385689,clu_70,clu_77,chr21:15385689:15390577:-,2,20,22,NA,-0.209720530982069,57,5
chr21,31685240,31685397,-,31685397,31685240,clu_649,clu_649,chr21:31685240:31685397:-,1,8,9,NA,-Inf,19,1
chr21,29069502,29073530,-,29073530,29069502,clu_538,clu_535,chr21:29069502:29073530:-,0,6,6,0.479565204347957,Inf,7711,662
chr21,32603288,32604120,-,32604120,32603288,clu_752,clu_762,chr21:32603288:32604120:-,2,17,19,NA,-Inf,23,2
chr21,32609954,32612104,-,32612104,32609954,clu_769,clu_771,chr21:32609954:32612104:-,4,47,51,0.885051149488505,0.0759509131893159,1441,132
chr21,32601973,32603160,-,32603160,32601973,clu_750,clu_756,chr21:32601973:32603160:-,2,40,42,0.196738032619674,0.787696780113556,877,94
chr21,32270529,32274829,-,32274829,32270529,clu_680,clu_682,chr21:32270529:32274829:-,90,1087,1177,0.619213807861921,-Inf,1092,90
chr21,29064836,29064967,-,29064967,29064836,clu_499,clu_519,chr21:29064836:29064967:-,1,7,8,0.585294147058529,-0.526373699874488,7958,672
chr21,32603288,32604124,-,32604124,32603288,clu_753,clu_762,chr21:32603288:32604124:-,2,29,31,0.597534024659753,0.355034254481273,1188,116
chr21,15370911,15390577,-,15390577,15370911,clu_70,clu_74,chr21:15370911:15390577:-,3,37,40,NA,0.209720530982069,57,5
chr21,32269117,32270406,-,32270406,32269117,clu_677,clu_678,chr21:32269117:32270406:-,1,12,13,0.997170028299717,-0.0139472274808504,1095,90
chr21,29065091,29066715,-,29066715,29065091,clu_503,clu_523,chr21:29065091:29066715:-,0,6,6,0.409645903540965,Inf,8170,685
chr21,29067071,29067555,-,29067555,29067071,clu_517,clu_529,chr21:29067071:29067555:-,678,8004,8682,0.532834671653283,0.389107866083393,8036,682
chr21,32700105,32701960,-,32701960,32700105,clu_801,clu_802,chr21:32700105:32701960:-,0,30,30,NA,Inf,43,2
chr21,15394506,15394999,-,15394999,15394506,clu_73,clu_81,chr21:15394506:15394999:-,2,44,46,NA,1.769286613376,59,6
chr21,32695282,32701960,-,32701960,32695282,clu_801,clu_801,chr21:32695282:32701960:-,2,13,15,NA,-Inf,43,2
chr21,32603292,32604124,-,32604124,32603292,clu_753,clu_763,chr21:32603292:32604124:-,114,1159,1273,0.597534024659753,-0.355034254481272,1188,116
chr21,32610005,32612104,-,32612104,32610005,clu_769,clu_773,chr21:32610005:32612104:-,126,1373,1499,0.924420755792442,-0.0392767371315586,1441,132
chr21,29067705,29073530,-,29073530,29067705,clu_538,clu_532,chr21:29067705:29073530:-,0,8,8,0.410575894241058,Inf,7711,662
chr21,32269803,32270406,-,32270406,32269803,clu_677,clu_681,chr21:32269803:32270406:-,89,1083,1172,0.997170028299717,0.0139472274808506,1095,90
chr21,29062556,29064967,-,29064967,29062556,clu_499,clu_511,chr21:29062556:29064967:-,2,15,17,0.70060299397006,-0.457865583705856,7958,672
chr21,29071988,29073530,-,29073530,29071988,clu_538,clu_540,chr21:29071988:29073530:-,1,14,15,0.999390006099939,0.184225247932628,7711,662
chr21,15370911,15385621,-,15385621,15370911,clu_67,clu_74,chr21:15370911:15385621:-,2,11,13,NA,-Inf,17,2
chr21,31685174,31685397,-,31685397,31685174,clu_649,clu_648,chr21:31685174:31685397:-,0,11,11,NA,Inf,19,1
chr21,32607716,32612104,-,32612104,32607716,clu_769,clu_766,chr21:32607716:32612104:-,2,21,23,0.978390216097839,-0.0395024429762464,1441,132
chr21,32603292,32604120,-,32604120,32603292,clu_752,clu_763,chr21:32603292:32604120:-,0,6,6,NA,Inf,23,2
chr21,32602367,32603160,-,32603160,32602367,clu_750,clu_757,chr21:32602367:32603160:-,92,828,920,0.0820491795082049,-1.00144854021446,877,94
chr21,15390618,15394999,-,15394999,15390618,clu_73,clu_79,chr21:15390618:15394999:-,4,15,19,NA,-1.769286613376,59,6
