chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction,pvalue,three.log.odds.ratio,three.mut.cluster.cov,three.wt.cluster.cov
chr21,41426263,41427754,+,41426263,41427754,clu_1732,clu_1767,chr21:41426263:41427754:+,2,10,12,NA,0.405465108108164,20,5
chr21,39380486,39390697,+,39380486,39390697,clu_1640,clu_1684,chr21:39380486:39390697:+,71,668,739,0.783682163178368,0.127075435004224,726,78
chr21,41430608,41432049,+,41430608,41432049,clu_1737,clu_1771,chr21:41430608:41432049:+,11,23,34,0.050019499805002,-1.66029632966759,34,12
chr21,39391836,39396865,+,39391836,39396865,clu_1652,clu_1690,chr21:39391836:39396865:+,15,144,159,0.797552024479755,-0.0969922659873097,1096,105
chr21,39499915,39508997,+,39499915,39508997,clu_1686,clu_1723,chr21:39499915:39508997:+,3,46,49,NA,1.34373474670109,50,4
chr21,41446141,41451166,+,41446141,41451166,clu_1747,clu_1783,chr21:41446141:41451166:+,0,5,5,NA,Inf,16,6
chr21,41446141,41449136,+,41446141,41449136,clu_1747,clu_1781,chr21:41446141:41449136:+,6,11,17,NA,-Inf,16,6
chr21,42413222,42416441,+,42413222,42416441,clu_1861,clu_1891,chr21:42413222:42416441:+,5,131,136,NA,-Inf,143,5
chr21,41430608,41432030,+,41430608,41432030,clu_1737,clu_1770,chr21:41430608:41432030:+,1,11,12,0.050019499805002,1.66029632966759,34,12
chr21,39380486,39391768,+,39380486,39391768,clu_1640,clu_1687,chr21:39380486:39391768:+,7,58,65,0.783682163178368,-0.127075435004224,726,78
chr21,39387855,39390697,+,39387855,39390697,clu_1647,clu_1684,chr21:39387855:39390697:+,22,228,250,0.335936640633594,-Inf,241,22
chr21,24428904,24485622,+,24428904,24485622,clu_184,clu_196,chr21:24428904:24485622:+,1,5,6,NA,-0.569094531889966,58,7
chr21,42413222,42413409,+,42413222,42413409,clu_1861,clu_1889,chr21:42413222:42413409:+,0,12,12,NA,Inf,143,5
chr21,39391836,39462374,+,39391836,39462374,clu_1652,clu_1718,chr21:39391836:39462374:+,0,6,6,0.440755592444076,Inf,1096,105
chr21,41426263,41427205,+,41426263,41427205,clu_1732,clu_1765,chr21:41426263:41427205:+,3,10,13,NA,-0.405465108108164,20,5
chr21,39387855,39391768,+,39387855,39391768,clu_1647,clu_1687,chr21:39387855:39391768:+,0,13,13,0.335936640633594,Inf,241,22
chr21,39499915,39509001,+,39499915,39509001,clu_1686,clu_1724,chr21:39499915:39509001:+,1,4,5,NA,-1.34373474670109,50,4
chr21,39391836,39393165,+,39391836,39393165,clu_1652,clu_1689,chr21:39391836:39393165:+,90,946,1036,0.899881001189988,0.0498478057275675,1096,105
chr21,24428904,24438252,+,24428904,24438252,clu_184,clu_189,chr21:24428904:24438252:+,6,53,59,NA,0.569094531889966,58,7
chr21,39345958,39348291,-,39348291,39345958,clu_1622,clu_1669,chr21:39345958:39348291:-,8,63,71,0.204377956220438,-0.541518570165397,1254,96
chr21,39345958,39347378,-,39347378,39345958,clu_1616,clu_1669,chr21:39345958:39347378:-,2,10,12,NA,-2.07944154167984,50,3
chr21,39345274,39347378,-,39347378,39345274,clu_1616,clu_1667,chr21:39345274:39347378:-,1,40,41,NA,2.07944154167984,50,3
chr21,39428503,39429130,-,39429130,39428503,clu_1668,clu_1706,chr21:39428503:39429130:-,0,6,6,NA,Inf,31,2
chr21,20257343,20258551,-,20258551,20257343,clu_182,clu_186,chr21:20257343:20258551:-,2,4,6,NA,-0.762140052046897,34,9
chr21,41994108,42010251,-,42010251,41994108,clu_1821,clu_1849,chr21:41994108:42010251:-,1,14,15,NA,-Inf,29,1
chr21,39348339,39348544,-,39348544,39348339,clu_1625,clu_1674,chr21:39348339:39348544:-,5,25,30,0.216877831221688,-0.974075729995946,1058,83
chr21,39347292,39348291,-,39348291,39347292,clu_1622,clu_1671,chr21:39347292:39348291:-,0,7,7,0.616513834861651,Inf,1254,96
