chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction,pvalue,three.log.odds.ratio,three.mut.cluster.cov,three.wt.cluster.cov
chr21,36386262,36387597,+,36386262,36387597,clu_1250,clu_1294,chr21:36386262:36387597:+,13,103,116,0.619153808461915,-Inf,108,13
chr21,34103519,34125340,+,34103519,34125340,clu_1137,clu_1168,chr21:34103519:34125340:+,7,79,86,0.602873971260287,0.477627554356395,93,9
chr21,34103519,34142407,+,34103519,34142407,clu_1137,clu_1171,chr21:34103519:34142407:+,2,14,16,0.602873971260287,-0.477627554356395,93,9
chr21,36415389,36416274,+,36415389,36416274,clu_1273,clu_1316,chr21:36415389:36416274:+,18,140,158,0.588474115258847,-Inf,145,18
chr21,36411604,36415294,+,36411604,36415294,clu_1269,clu_1312,chr21:36411604:36415294:+,1,7,8,0.90650093499065,-0.106380403558572,116,15
chr21,36320303,36329907,+,36320303,36329907,clu_1218,clu_1256,chr21:36320303:36329907:+,1,6,7,0.830181698183018,-0.63304325649024,345,31
chr21,36337946,36338778,+,36337946,36338778,clu_1231,clu_1267,chr21:36337946:36338778:+,0,7,7,0.407185928140719,Inf,369,32
chr21,36071057,36072173,+,36071057,36072173,clu_1214,clu_1248,chr21:36071057:36072173:+,1,9,10,0.850551494485055,-0.0458095360312942,1215,129
chr21,36411604,36412883,+,36411604,36412883,clu_1269,clu_1309,chr21:36411604:36412883:+,14,109,123,0.90650093499065,0.106380403558572,116,15
chr21,36345031,36356619,+,36345031,36356619,clu_1238,clu_1279,chr21:36345031:36356619:+,1,6,7,0.625443745562544,-0.702716631576096,321,27
chr21,36415389,36415779,+,36415389,36415779,clu_1273,clu_1315,chr21:36415389:36415779:+,0,5,5,0.588474115258847,Inf,145,18
chr21,34102912,34103496,+,34102912,34103496,clu_1131,clu_1160,chr21:34102912:34103496:+,0,7,7,NA,Inf,13,1
chr21,34102912,34125340,+,34102912,34125340,clu_1131,clu_1168,chr21:34102912:34125340:+,1,6,7,NA,-Inf,13,1
chr21,36345031,36349310,+,36345031,36349310,clu_1238,clu_1276,chr21:36345031:36349310:+,26,315,341,0.625443745562544,0.702716631576096,321,27
chr21,36071057,36072445,+,36071057,36072445,clu_1214,clu_1249,chr21:36071057:36072445:+,128,1206,1334,0.850551494485055,0.0458095360312942,1215,129
chr21,36337006,36337731,+,36337006,36337731,clu_1228,clu_1264,chr21:36337006:36337731:+,34,375,409,1,0.00267022855587889,386,35
chr21,36320303,36333645,+,36320303,36333645,clu_1218,clu_1261,chr21:36320303:36333645:+,30,332,362,0.844891551084489,-0.161011770207203,345,31
chr21,36386262,36391550,+,36386262,36391550,clu_1250,clu_1296,chr21:36386262:36391550:+,0,5,5,0.619153808461915,Inf,108,13
chr21,36337946,36338773,+,36337946,36338773,clu_1231,clu_1266,chr21:36337946:36338773:+,32,362,394,0.407185928140719,-Inf,369,32
chr21,36337006,36341398,+,36337006,36341398,clu_1228,clu_1269,chr21:36337006:36341398:+,1,11,12,1,-0.00267022855587892,386,35
chr21,36320303,36336873,+,36320303,36336873,clu_1218,clu_1262,chr21:36320303:36336873:+,0,7,7,0.421165788342117,Inf,345,31
chr21,36041888,36043781,-,36043781,36041888,clu_1193,clu_1224,chr21:36041888:36043781:-,1,6,7,NA,-Inf,11,1
