chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction,pvalue,three.log.odds.ratio,three.mut.cluster.cov,three.wt.cluster.cov
chr21,33546379,33548629,+,33546379,33548629,clu_970,clu_1001,chr21:33546379:33548629:+,3,10,13,0.274617253827462,-0.99625027600654,344,40
chr21,33575893,33576364,+,33575893,33576364,clu_995,clu_1028,chr21:33575893:33576364:+,9,116,125,0.920880791192088,-0.0429513871955993,264,20
chr21,33575893,33576417,+,33575893,33576417,clu_995,clu_1030,chr21:33575893:33576417:+,11,148,159,0.920880791192088,0.0429513871955993,264,20
chr21,33557316,33559229,+,33557316,33559229,clu_983,clu_1016,chr21:33557316:33559229:+,8,62,70,NA,-Inf,67,8
chr21,33268517,33279751,+,33268517,33279751,clu_856,clu_861,chr21:33268517:33279751:+,0,12,12,0.137888621113789,Inf,164,28
chr21,33341174,33345245,+,33341174,33345245,clu_873,clu_887,chr21:33341174:33345245:+,0,6,6,0.261677383226168,Inf,299,30
chr21,33569087,33573307,+,33569087,33573307,clu_989,clu_1024,chr21:33569087:33573307:+,12,143,155,0.737912620873791,-Inf,148,12
chr21,33559775,33559876,+,33559775,33559876,clu_987,clu_1019,chr21:33559775:33559876:+,3,28,31,0.915750842491575,0.0890113776562966,139,16
chr21,33546379,33549475,+,33546379,33549475,clu_970,clu_1002,chr21:33546379:33549475:+,37,334,371,0.274617253827462,0.99625027600654,344,40
chr21,33559775,33567156,+,33559775,33567156,clu_987,clu_1020,chr21:33559775:33567156:+,13,111,124,0.915750842491575,-0.0890113776562967,139,16
chr21,33266514,33268393,+,33266514,33268393,clu_854,clu_854,chr21:33266514:33268393:+,28,165,193,0.427165728342717,1.36827585561721,168,30
chr21,33345360,33348549,+,33345360,33348549,clu_879,clu_888,chr21:33345360:33348549:+,1,4,5,0.573534264657353,-0.912712910526271,283,29
chr21,33266514,33276595,+,33266514,33276595,clu_854,clu_859,chr21:33266514:33276595:+,2,3,5,0.427165728342717,-1.36827585561721,168,30
chr21,33557316,33557545,+,33557316,33557545,clu_983,clu_1014,chr21:33557316:33557545:+,0,5,5,NA,Inf,67,8
chr21,33345360,33349090,+,33345360,33349090,clu_879,clu_891,chr21:33345360:33349090:+,28,279,307,0.573534264657353,0.912712910526271,283,29
chr21,33341174,33343534,+,33341174,33343534,clu_873,clu_884,chr21:33341174:33343534:+,2,19,21,0.948720512794872,-0.0512932943875506,299,30
chr21,33335647,33343267,+,33335647,33343267,clu_872,clu_883,chr21:33335647:33343267:+,1,6,7,0.63560364396356,-0.438580716892662,313,34
chr21,33341174,33343267,+,33341174,33343267,clu_873,clu_883,chr21:33341174:33343267:+,28,274,302,0.683513164868351,-0.244805048095389,299,30
chr21,33569087,33572550,+,33569087,33572550,clu_989,clu_1023,chr21:33569087:33572550:+,0,5,5,0.737912620873791,Inf,148,12
chr21,33335647,33341077,+,33335647,33341077,clu_872,clu_881,chr21:33335647:33341077:+,0,11,11,0.244467555324447,Inf,313,34
chr21,33335647,33340998,+,33335647,33340998,clu_872,clu_880,chr21:33335647:33340998:+,33,296,329,0.454545454545455,-0.639361451198636,313,34
chr21,33268517,33276595,+,33268517,33276595,clu_856,clu_859,chr21:33268517:33276595:+,28,152,180,0.137888621113789,-Inf,164,28
chr21,15405929,15441225,-,15441225,15405929,clu_91,clu_95,chr21:15405929:15441225:-,2,8,10,NA,-0.559615787935423,15,3
chr21,33539356,33542064,-,33542064,33539356,clu_963,clu_995,chr21:33539356:33542064:-,39,694,733,0.505074949250508,0.481015041578788,716,41
chr21,33530884,33531488,-,33531488,33530884,clu_943,clu_983,chr21:33530884:33531488:-,53,838,891,0.62830371696283,0.458141093935915,848,54
chr21,33535320,33542064,-,33542064,33535320,clu_963,clu_992,chr21:33535320:33542064:-,1,6,7,0.61850381496185,-1.08462604669337,716,41
chr21,32741622,32743247,-,32743247,32741622,clu_812,clu_814,chr21:32741622:32743247:-,2,10,12,NA,-0.53062825106217,44,6
chr21,15405764,15444023,-,15444023,15405764,clu_95,clu_94,chr21:15405764:15444023:-,1,7,8,NA,-0.0350913198112701,36,5
chr21,33509920,33511251,-,33511251,33509920,clu_922,clu_952,chr21:33509920:33511251:-,12,272,284,0.735692643073569,-Inf,277,12
chr21,15441348,15444023,-,15444023,15441348,clu_95,clu_99,chr21:15441348:15444023:-,1,11,12,NA,0.56531380905006,36,5
chr21,15405764,15441225,-,15441225,15405764,clu_91,clu_94,chr21:15405764:15441225:-,1,7,8,NA,0.559615787935423,15,3
chr21,33539323,33542064,-,33542064,33539323,clu_963,clu_994,chr21:33539323:33542064:-,1,16,17,0.91610083899161,-0.0896121586896872,716,41
chr21,33520562,33520905,-,33520905,33520562,clu_929,clu_966,chr21:33520562:33520905:-,16,227,243,0.581484185158148,1.95921411468168,231,18
chr21,33524484,33524768,-,33524768,33524484,clu_933,clu_974,chr21:33524484:33524768:-,0,8,8,0.546474535254647,Inf,235,18
chr21,33522282,33524768,-,33524768,33522282,clu_933,clu_970,chr21:33522282:33524768:-,18,227,245,0.546474535254647,-Inf,235,18
chr21,33520645,33520905,-,33520905,33520645,clu_929,clu_967,chr21:33520645:33520905:-,2,4,6,0.581484185158148,-1.95921411468168,231,18
chr21,33506104,33511251,-,33511251,33506104,clu_922,clu_949,chr21:33506104:33511251:-,0,5,5,0.735692643073569,Inf,277,12
chr21,32738319,32743247,-,32743247,32738319,clu_812,clu_812,chr21:32738319:32743247:-,3,27,30,NA,0.462623521948113,44,6
chr21,15400549,15444023,-,15444023,15400549,clu_95,clu_86,chr21:15400549:15444023:-,0,7,7,NA,Inf,36,5
chr21,33528937,33531488,-,33531488,33528937,clu_943,clu_981,chr21:33528937:33531488:-,1,10,11,0.62830371696283,-0.458141093935915,848,54
chr21,15441847,15444023,-,15444023,15441847,clu_95,clu_100,chr21:15441847:15444023:-,3,5,8,NA,-2.23001440015921,36,5
