chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction,pvalue,three.log.odds.ratio,three.mut.cluster.cov,three.wt.cluster.cov
chr21,46324282,46326376,+,46324282,46326376,clu_2771,clu_2777,chr21:46324282:46326376:+,17,159,176,0.439525604743953,1.13707856949591,165,19
chr21,46398130,46398234,+,46398130,46398234,clu_2798,clu_2805,chr21:46398130:46398234:+,0,15,15,NA,Inf,24,1
chr21,25735578,25741572,+,25735578,25741572,clu_274,clu_287,chr21:25735578:25741572:+,5,75,80,NA,0.762140052046897,89,7
chr21,46241019,46249585,+,46241019,46249585,clu_2696,clu_2709,chr21:46241019:46249585:+,0,18,18,NA,Inf,32,3
chr21,46241019,46241774,+,46241019,46241774,clu_2696,clu_2699,chr21:46241019:46241774:+,2,8,10,NA,-1.79175946922805,32,3
chr21,46649739,46664294,+,46649739,46664294,clu_2876,clu_2897,chr21:46649739:46664294:+,3,20,23,0.765992340076599,-0.24059046491793,232,28
chr21,46649739,46663382,+,46649739,46663382,clu_2876,clu_2895,chr21:46649739:46663382:+,1,5,6,0.645613543864561,-0.519675239042973,232,28
chr21,46324282,46334396,+,46324282,46334396,clu_2771,clu_2779,chr21:46324282:46334396:+,2,6,8,0.439525604743953,-1.13707856949591,165,19
chr21,46635763,46636438,+,46635763,46636438,clu_2865,clu_2875,chr21:46635763:46636438:+,5,21,26,0.454615453845462,-0.680004355120751,535,67
chr21,46442573,46445283,+,46442573,46445283,clu_2821,clu_2831,chr21:46442573:46445283:+,1,8,9,NA,-0.287682072451781,40,4
chr21,25735578,25741560,+,25735578,25741560,clu_274,clu_286,chr21:25735578:25741560:+,2,14,16,NA,-0.762140052046897,89,7
chr21,46649739,46658744,+,46649739,46658744,clu_2876,clu_2891,chr21:46649739:46658744:+,13,151,164,0.0892091079089209,0.765931525783159,232,28
chr21,46398130,46398237,+,46398130,46398237,clu_2798,clu_2806,chr21:46398130:46398237:+,1,9,10,NA,-Inf,24,1
chr21,46287123,46291333,+,46287123,46291333,clu_2739,clu_2742,chr21:46287123:46291333:+,29,267,296,0.722952770472295,0.161564695931772,314,35
chr21,46241019,46258923,+,46241019,46258923,clu_2696,clu_2719,chr21:46241019:46258923:+,1,6,7,NA,-0.773189888233482,32,3
chr21,46649739,46652844,+,46649739,46652844,clu_2876,clu_2888,chr21:46649739:46652844:+,9,48,57,0.224547754522455,-0.596520344870874,232,28
chr21,46442573,46443809,+,46442573,46443809,clu_2821,clu_2828,chr21:46442573:46443809:+,3,32,35,NA,0.287682072451781,40,4
chr21,46649739,46661799,+,46649739,46661799,clu_2876,clu_2894,chr21:46649739:46661799:+,2,8,10,0.440155598444016,-0.767255152713667,232,28
chr21,46287123,46296161,+,46287123,46296161,clu_2739,clu_2744,chr21:46287123:46296161:+,6,47,53,0.722952770472295,-0.161564695931772,314,35
chr21,46635763,46636895,+,46635763,46636895,clu_2865,clu_2876,chr21:46635763:46636895:+,62,514,576,0.454615453845462,0.680004355120751,535,67
chr21,5142668,5143221,-,5143221,5142668,clu_2948,clu_2977,chr21:5142668:5143221:-,3,79,82,NA,1.88454120267902,83,4
chr21,25729801,25735486,-,25735486,25729801,clu_273,clu_275,chr21:25729801:25735486:-,23,120,143,0.208127918720813,-Inf,131,23
chr21,5127950,5128213,-,5128213,5127950,clu_2925,clu_2953,chr21:5127950:5128213:-,196,2018,2214,0.380676193238068,0.827670144906763,2027,198
chr21,5121111,5121710,-,5121710,5121111,clu_2907,clu_2936,chr21:5121111:5121710:-,10,88,98,0.615133848661513,-0.172381747770954,1970,190
chr21,46318961,46322638,-,46322638,46318961,clu_2763,clu_2771,chr21:46318961:46322638:-,0,5,5,NA,Inf,14,1
chr21,5125992,5128213,-,5128213,5125992,clu_2925,clu_2950,chr21:5125992:5128213:-,2,9,11,0.380676193238068,-0.827670144906763,2027,198
chr21,46317348,46318011,-,46318011,46317348,clu_2756,clu_2769,chr21:46317348:46318011:-,0,9,9,NA,Inf,30,1
chr21,5127203,5127897,-,5127897,5127203,clu_2920,clu_2951,chr21:5127203:5127897:-,0,6,6,0.337086629133709,Inf,2060,198
chr21,5142686,5143221,-,5143221,5142686,clu_2948,clu_2978,chr21:5142686:5143221:-,1,4,5,NA,-1.88454120267902,83,4
chr21,46317268,46318011,-,46318011,46317268,clu_2756,clu_2768,chr21:46317268:46318011:-,1,21,22,NA,-Inf,30,1
chr21,5118847,5124755,-,5124755,5118847,clu_2913,clu_2928,chr21:5118847:5124755:-,5,60,65,0.758012419875801,0.128805603453847,2075,196
chr21,5118847,5121710,-,5121710,5118847,clu_2907,clu_2928,chr21:5118847:5121710:-,168,1800,1968,0.193158068419316,0.326821980789051,1970,190
chr21,5125992,5127897,-,5127897,5125992,clu_2920,clu_2950,chr21:5125992:5127897:-,198,2054,2252,0.337086629133709,-Inf,2060,198
chr21,5121207,5121710,-,5121710,5121207,clu_2907,clu_2938,chr21:5121207:5121710:-,1,13,14,0.905670943290567,0.227528405125103,1970,190
chr21,6492197,6495992,-,6495992,6492197,clu_3007,clu_3030,chr21:6492197:6495992:-,2,17,19,NA,-0.424883193965266,30,3
chr21,25735030,25735486,-,25735486,25735030,clu_273,clu_282,chr21:25735030:25735486:-,0,5,5,0.452015479845202,Inf,131,23
chr21,25735389,25735486,-,25735486,25735389,clu_273,clu_283,chr21:25735389:25735486:-,0,6,6,0.459655403445966,Inf,131,23
chr21,46314880,46315473,-,46315473,46314880,clu_2753,clu_2763,chr21:46314880:46315473:-,0,19,19,NA,Inf,44,2
chr21,46318220,46322638,-,46322638,46318220,clu_2763,clu_2770,chr21:46318220:46322638:-,1,9,10,NA,-Inf,14,1
chr21,5121803,5124755,-,5124755,5121803,clu_2913,clu_2941,chr21:5121803:5124755:-,191,2015,2206,0.758012419875801,-0.128805603453847,2075,196
chr21,46236894,46240810,-,46240810,46236894,clu_2694,clu_2690,chr21:46236894:46240810:-,0,10,10,0.298087019129809,Inf,138,13
chr21,46236979,46240810,-,46240810,46236979,clu_2694,clu_2691,chr21:46236979:46240810:-,13,128,141,0.298087019129809,-Inf,138,13
chr21,5120889,5121710,-,5121710,5120889,clu_2907,clu_2934,chr21:5120889:5121710:-,8,58,66,0.378546214537855,-0.370896937667968,1970,190
chr21,6493110,6495992,-,6495992,6493110,clu_3007,clu_3031,chr21:6493110:6495992:-,1,13,14,NA,0.424883193965266,30,3
chr21,5120854,5121710,-,5121710,5120854,clu_2907,clu_2933,chr21:5120854:5121710:-,2,7,9,0.399826001739983,-1.09302426295114,1970,190
chr21,46315049,46315473,-,46315473,46315049,clu_2753,clu_2764,chr21:46315049:46315473:-,2,25,27,NA,-Inf,44,2
chr21,5116481,5121710,-,5121710,5116481,clu_2907,clu_2915,chr21:5116481:5121710:-,1,4,5,0.572164278357217,-0.955714924527579,1970,190
