E/B/M_five.obs.logOR.ratio,E/B/M_obs.wt,E/B/M_obs.mut,E/B/M_total.reads.per.junction,E/B/M_five.wt.cluster.cov,E/B/M_five.mut.cluster.cov,intron_junction,Tcells_five.obs.logOR.ratio,Tcells_obs.wt,Tcells_obs.mut,Tcells_total.reads.per.junction,Tcells_five.wt.cluster.cov,Tcells_five.mut.cluster.cov,PreB_five.obs.logOR.ratio,PreB_obs.wt,PreB_obs.mut,PreB_total.reads.per.junction,PreB_five.wt.cluster.cov,PreB_five.mut.cluster.cov,DC_five.obs.logOR.ratio,DC_obs.wt,DC_obs.mut,DC_total.reads.per.junction,DC_five.wt.cluster.cov,DC_five.mut.cluster.cov,HSPC_five.obs.logOR.ratio,HSPC_obs.wt,HSPC_obs.mut,HSPC_total.reads.per.junction,HSPC_five.wt.cluster.cov,HSPC_five.mut.cluster.cov,IMP_five.obs.logOR.ratio,IMP_obs.wt,IMP_obs.mut,IMP_total.reads.per.junction,IMP_five.wt.cluster.cov,IMP_five.mut.cluster.cov,Bcells_five.obs.logOR.ratio,Bcells_obs.wt,Bcells_obs.mut,Bcells_total.reads.per.junction,Bcells_five.wt.cluster.cov,Bcells_five.mut.cluster.cov,NP_five.obs.logOR.ratio,NP_obs.wt,NP_obs.mut,NP_total.reads.per.junction,NP_five.wt.cluster.cov,NP_five.mut.cluster.cov,Mat_Mono_five.obs.logOR.ratio,Mat_Mono_obs.wt,Mat_Mono_obs.mut,Mat_Mono_total.reads.per.junction,Mat_Mono_five.wt.cluster.cov,Mat_Mono_five.mut.cluster.cov,MonoDC_five.obs.logOR.ratio,MonoDC_obs.wt,MonoDC_obs.mut,MonoDC_total.reads.per.junction,MonoDC_five.wt.cluster.cov,MonoDC_five.mut.cluster.cov,MkP_five.obs.logOR.ratio,MkP_obs.wt,MkP_obs.mut,MkP_total.reads.per.junction,MkP_five.wt.cluster.cov,MkP_five.mut.cluster.cov,MEP_five.obs.logOR.ratio,MEP_obs.wt,MEP_obs.mut,MEP_total.reads.per.junction,MEP_five.wt.cluster.cov,MEP_five.mut.cluster.cov,EP_five.obs.logOR.ratio,EP_obs.wt,EP_obs.mut,EP_total.reads.per.junction,EP_five.wt.cluster.cov,EP_five.mut.cluster.cov,None_five.obs.logOR.ratio,None_obs.wt,None_obs.mut,None_total.reads.per.junction,None_five.wt.cluster.cov,None_five.mut.cluster.cov,chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,obs.wt,obs.mut,total.reads.per.junction,None_pvalue,EP_pvalue,MEP_pvalue,MkP_pvalue,MonoDC_pvalue,Mat_Mono_pvalue,NP_pvalue,Bcells_pvalue,IMP_pvalue,HSPC_pvalue,DC_pvalue,PreB_pvalue,Tcells_pvalue,E/B/M_pvalue
NA,0,0,0,0,0,chr21:29133414:29149188:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,3,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,2,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,2,2,0,2,NA,0,2,2,0,5,NA,0,1,1,0,3,chr21,29133414,29149188,+,29133414,29149188,clu_559,clu_558,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,5,7,chr21:29092581:29149188:+,NA,0,1,1,3,2,NA,0,0,0,2,5,NA,0,0,0,6,76,NA,0,0,0,14,68,NA,0,0,0,47,234,NA,0,0,0,2,5,NA,0,0,0,15,82,NA,0,0,0,55,221,NA,0,1,1,18,97,NA,1,2,3,62,571,NA,0,4,4,307,2084,NA,1,12,13,702,9413,NA,0,1,1,31,1530,chr21,29092581,29149188,+,29092581,29149188,clu_553,clu_558,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,4,5,9,4,5,chr21:29145707:29149188:+,NA,3,1,4,3,1,NA,2,5,7,2,5,NA,6,72,78,6,72,NA,12,66,78,12,67,NA,45,223,268,45,223,NA,2,4,6,2,4,NA,14,77,91,14,78,NA,52,202,254,52,202,NA,18,94,112,18,94,NA,58,541,599,58,542,NA,282,1985,2267,285,1988,NA,670,8962,9632,672,8984,NA,26,1457,1483,26,1463,chr21,29145707,29149188,+,29145707,29149188,clu_560,clu_558,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,4,5,chr21:31659841:31667257:+,Inf,0,0,0,3,1,NA,0,0,0,2,5,NA,0,0,0,6,72,NA,0,1,1,12,67,NA,0,0,0,45,223,NA,0,0,0,2,4,NA,0,1,1,14,78,NA,0,0,0,52,202,Inf,0,0,0,18,94,-1.53985938939307,0,0,0,58,542,Inf,1,3,4,285,1988,-0.111156808755961,1,15,16,672,8984,Inf,0,3,3,26,1463,chr21,31659841,31667257,+,31659841,31667257,clu_621,clu_625,2,21,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5,7,12,5,7,chr21:31666518:31667257:+,-Inf,3,1,4,3,1,NA,2,5,7,2,5,NA,6,74,80,6,75,NA,14,68,82,14,69,NA,47,233,280,47,233,NA,2,4,6,2,5,NA,15,78,93,15,80,NA,53,216,269,53,217,-Inf,18,94,112,18,95,1.53985938939307,60,563,623,61,567,-Inf,302,2052,2354,305,2070,0.11115680875596,698,9296,9994,700,9365,-Inf,29,1517,1546,29,1525,chr21,31666518,31667257,+,31666518,31667257,clu_636,clu_625,1267,14374,15641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:31659841:31663789:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,4,-Inf,0,3,3,0,6,NA,0,0,0,0,3,NA,0,2,2,0,2,-Inf,1,1,2,2,1,NA,9,12,21,18,30,NA,1,4,5,1,7,-Inf,3,7,10,4,15,1.95146712218318,1,10,11,3,28,0.195575710162706,1,36,37,2,83,-Inf,1,5,6,2,10,chr21,31659841,31663789,+,31659841,31663789,clu_621,clu_614,1194,13694,14888,NA,0.828991710082899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:31660708:31663789:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,3,Inf,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,0,0,0,0,0,NA,0,0,0,1,2,NA,0,0,0,0,0,NA,0,0,0,0,1,-0.845787666291975,0,0,0,0,2,0.115289871955889,0,3,3,0,5,Inf,0,2,2,0,3,chr21,31660708,31663789,+,31660708,31663789,clu_625,clu_614,2,23,25,NA,0.915610843891561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:31659786:31663789:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,2,1,3,2,1,NA,2,7,9,2,7,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,8,8,0,9,NA,0,1,1,0,1,Inf,1,16,17,1,16,-Inf,10,38,48,10,39,-0.647741743729693,20,208,228,20,211,Inf,2,36,38,2,36,chr21,31659786,31663789,+,31659786,31663789,clu_619,clu_614,3,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:31663886:31666448:+,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,0,0,0,1,-Inf,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,0,0,0,0,-Inf,0,0,0,0,0,-Inf,0,0,0,0,0,-Inf,0,0,0,0,0,0.852640704797699,0,0,0,0,1,0.124383719687736,0,1,1,0,1,-0.951838947707994,0,6,6,0,18,-Inf,0,2,2,0,6,chr21,31663886,31666448,+,31663886,31666448,clu_633,clu_622,1254,14208,15462,NA,0.15119848801512,0.86980130198698,NA,NA,0.000669993300067007,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:31659841:31666448:+,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,0,3,3,0,4,Inf,0,3,3,0,6,NA,0,2,2,0,3,Inf,0,0,0,0,2,Inf,1,0,1,2,1,Inf,8,15,23,18,30,Inf,0,3,3,1,7,-0.852640704797699,1,8,9,4,15,-0.124383719687736,2,17,19,3,28,0.951838947707994,0,45,45,2,83,Inf,1,5,6,2,10,chr21,31659841,31666448,+,31659841,31666448,clu_621,clu_622,6,106,112,NA,0.15119848801512,0.869791302086979,NA,NA,0.000669993300067007,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:29305322:29321220:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,2,1,NA,0,0,0,2,7,NA,0,0,0,0,0,Inf,0,0,0,0,1,-0.405465108108164,0,1,1,0,9,-Inf,0,0,0,0,1,-1.23214368129263,0,0,0,1,16,0.105360515657826,0,1,1,10,39,-0.266628663253949,0,3,3,20,211,0,0,0,0,2,36,chr21,29305322,29321220,+,29305322,29321220,clu_572,clu_563,17,81,98,NA,NA,NA,NA,NA,0.575154248457515,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:29298953:29321220:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,2,0,3,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,0,0,0,0,0.22314355131421,1,2,3,1,2,Inf,0,0,0,0,0,1.23214368129263,0,0,0,0,1,-0.2578291093021,0,0,0,0,2,Inf,0,0,0,0,5,0,0,0,0,0,3,chr21,29298953,29321220,+,29298953,29321220,clu_566,clu_563,13,101,114,NA,NA,NA,NA,NA,0.757252427475725,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:29299598:29321220:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,4,NA,0,0,0,0,6,NA,0,1,1,0,3,NA,0,0,0,0,2,NA,0,0,0,2,1,0.635988766719997,1,3,4,18,30,NA,0,0,0,1,7,NA,0,0,0,4,15,Inf,0,1,1,3,28,-3.70130197411249,1,2,3,2,83,NA,0,0,0,2,10,chr21,29299598,29321220,+,29299598,29321220,clu_567,clu_563,2,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,5,7,chr21:31659841:31663794:+,NA,0,0,0,3,1,NA,0,0,0,2,5,NA,0,1,1,6,75,NA,0,1,1,14,69,NA,0,0,0,47,233,NA,0,1,1,2,5,NA,0,2,2,15,80,NA,0,1,1,53,217,NA,0,1,1,18,95,NA,1,4,5,61,567,-Inf,3,18,21,305,2070,-Inf,2,69,71,700,9365,NA,0,8,8,29,1525,chr21,31659841,31663794,+,31659841,31663794,clu_621,clu_615,37,317,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,5,7,12,5,7,chr21:31659786:31663794:+,NA,3,1,4,3,2,NA,2,5,7,2,5,NA,6,76,82,6,76,NA,14,68,82,14,68,NA,47,234,281,47,234,NA,2,5,7,2,5,NA,15,82,97,15,82,NA,55,221,276,55,221,NA,18,96,114,18,97,NA,61,569,630,62,571,Inf,307,2080,2387,307,2084,Inf,701,9401,10102,702,9413,NA,31,1529,1560,31,1530,chr21,31659786,31663794,+,31659786,31663794,clu_619,clu_615,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,4,5,chr21:29077713:29085812:+,NA,0,0,0,3,1,NA,0,0,0,2,5,NA,0,0,0,6,72,NA,0,0,0,12,67,NA,0,0,0,45,223,NA,0,0,0,2,4,NA,0,0,0,14,78,NA,0,0,0,52,202,NA,0,0,0,18,94,NA,0,1,1,58,542,NA,2,0,2,285,1988,NA,1,7,8,672,8984,NA,0,3,3,26,1463,chr21,29077713,29085812,+,29077713,29085812,clu_545,clu_544,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:29085143:29085812:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,0,0,0,1,NA,0,5,5,0,18,NA,0,1,1,0,6,chr21,29085143,29085812,+,29085143,29085812,clu_547,clu_544,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:29076330:29085812:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,1,NA,0,7,7,0,18,NA,0,3,3,0,6,chr21,29076330,29085812,+,29076330,29085812,clu_543,clu_544,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,2,5,chr21:29069502:29073530:-,NA,0,0,0,2,0,NA,0,0,0,0,2,NA,0,0,0,6,43,Inf,0,1,1,23,52,NA,0,0,0,32,161,NA,0,0,0,3,3,NA,0,0,0,9,39,NA,0,0,0,39,119,NA,0,0,0,15,80,Inf,0,1,1,47,365,Inf,0,1,1,157,1320,Inf,0,2,2,330,4922,Inf,0,1,1,12,812,chr21,29069502,29073530,-,29073530,29069502,clu_538,clu_535,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,1,chr21:29069502:29070246:-,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,1,-Inf,0,0,0,0,0,-Inf,1,3,4,1,8,-Inf,1,11,12,3,28,-Inf,0,3,3,0,7,chr21,29069502,29070246,-,29070246,29069502,clu_528,clu_535,677,7917,8594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:32603288:32604120:-,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,5,NA,0,0,0,3,3,NA,0,1,1,3,12,NA,0,0,0,0,0,NA,0,0,0,4,3,NA,0,0,0,1,8,NA,0,0,0,3,5,NA,0,1,1,4,21,-Inf,0,10,10,14,114,0.2578291093021,2,18,20,54,555,NA,0,10,10,3,80,chr21,32603288,32604120,-,32604120,32603288,clu_752,clu_762,2,17,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
