E/B/M_five.obs.logOR.ratio,E/B/M_obs.wt,E/B/M_obs.mut,E/B/M_total.reads.per.junction,E/B/M_five.wt.cluster.cov,E/B/M_five.mut.cluster.cov,intron_junction,Tcells_five.obs.logOR.ratio,Tcells_obs.wt,Tcells_obs.mut,Tcells_total.reads.per.junction,Tcells_five.wt.cluster.cov,Tcells_five.mut.cluster.cov,PreB_five.obs.logOR.ratio,PreB_obs.wt,PreB_obs.mut,PreB_total.reads.per.junction,PreB_five.wt.cluster.cov,PreB_five.mut.cluster.cov,DC_five.obs.logOR.ratio,DC_obs.wt,DC_obs.mut,DC_total.reads.per.junction,DC_five.wt.cluster.cov,DC_five.mut.cluster.cov,HSPC_five.obs.logOR.ratio,HSPC_obs.wt,HSPC_obs.mut,HSPC_total.reads.per.junction,HSPC_five.wt.cluster.cov,HSPC_five.mut.cluster.cov,IMP_five.obs.logOR.ratio,IMP_obs.wt,IMP_obs.mut,IMP_total.reads.per.junction,IMP_five.wt.cluster.cov,IMP_five.mut.cluster.cov,Bcells_five.obs.logOR.ratio,Bcells_obs.wt,Bcells_obs.mut,Bcells_total.reads.per.junction,Bcells_five.wt.cluster.cov,Bcells_five.mut.cluster.cov,NP_five.obs.logOR.ratio,NP_obs.wt,NP_obs.mut,NP_total.reads.per.junction,NP_five.wt.cluster.cov,NP_five.mut.cluster.cov,Mat_Mono_five.obs.logOR.ratio,Mat_Mono_obs.wt,Mat_Mono_obs.mut,Mat_Mono_total.reads.per.junction,Mat_Mono_five.wt.cluster.cov,Mat_Mono_five.mut.cluster.cov,MonoDC_five.obs.logOR.ratio,MonoDC_obs.wt,MonoDC_obs.mut,MonoDC_total.reads.per.junction,MonoDC_five.wt.cluster.cov,MonoDC_five.mut.cluster.cov,MkP_five.obs.logOR.ratio,MkP_obs.wt,MkP_obs.mut,MkP_total.reads.per.junction,MkP_five.wt.cluster.cov,MkP_five.mut.cluster.cov,MEP_five.obs.logOR.ratio,MEP_obs.wt,MEP_obs.mut,MEP_total.reads.per.junction,MEP_five.wt.cluster.cov,MEP_five.mut.cluster.cov,EP_five.obs.logOR.ratio,EP_obs.wt,EP_obs.mut,EP_total.reads.per.junction,EP_five.wt.cluster.cov,EP_five.mut.cluster.cov,None_five.obs.logOR.ratio,None_obs.wt,None_obs.mut,None_total.reads.per.junction,None_five.wt.cluster.cov,None_five.mut.cluster.cov,chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,obs.wt,obs.mut,total.reads.per.junction,None_pvalue,EP_pvalue,MEP_pvalue,MkP_pvalue,MonoDC_pvalue,Mat_Mono_pvalue,NP_pvalue,Bcells_pvalue,IMP_pvalue,HSPC_pvalue,DC_pvalue,PreB_pvalue,Tcells_pvalue,E/B/M_pvalue
NA,1,0,1,1,0,chr21:29027974:29030594:+,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,4,7,11,4,7,NA,1,3,4,1,3,NA,1,16,17,1,16,NA,0,0,0,0,0,NA,4,7,11,4,7,NA,8,32,40,8,32,NA,2,16,18,2,16,-Inf,2,36,38,2,37,-Inf,11,120,131,11,123,-Inf,23,360,383,23,363,NA,1,57,58,1,57,chr21,29027974,29030594,+,29027974,29030594,clu_426,clu_422,58,655,713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,1,0,chr21:29030223:29030594:+,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,4,5,NA,0,0,0,1,3,NA,0,0,0,0,15,NA,0,0,0,0,0,NA,0,0,0,4,7,NA,0,0,0,7,28,NA,0,0,0,2,16,Inf,0,0,0,2,36,Inf,0,1,1,10,117,Inf,0,4,4,20,342,NA,0,0,0,1,52,chr21,29030223,29030594,+,29030223,29030594,clu_428,clu_422,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,1,0,chr21:29025077:29027872:+,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,4,5,NA,0,0,0,1,3,NA,0,0,0,0,15,NA,0,0,0,0,0,NA,0,0,0,4,7,NA,0,0,0,7,28,NA,0,0,0,2,16,NA,0,1,1,2,36,Inf,0,0,0,10,117,Inf,2,3,5,20,342,NA,0,0,0,1,52,chr21,29025077,29027872,+,29025077,29027872,clu_415,clu_419,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,0,1,1,0,chr21:29025771:29027872:+,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,4,5,9,4,5,NA,1,3,4,1,3,NA,0,15,15,0,15,NA,0,0,0,0,0,NA,4,7,11,4,7,NA,7,28,35,7,28,NA,2,16,18,2,16,Inf,2,35,37,2,36,NA,10,116,126,10,117,-2.53016324137612,18,335,353,20,342,NA,1,52,53,1,52,chr21,29025771,29027872,+,29025771,29027872,clu_417,clu_419,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,1,0,chr21:29024777:29027872:+,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,4,7,NA,0,0,0,1,3,NA,0,0,0,1,16,NA,0,0,0,0,0,NA,0,0,0,4,7,NA,0,0,0,8,32,NA,0,0,0,2,16,-Inf,0,1,1,2,37,-Inf,0,3,3,11,123,1.67099580543353,0,3,3,23,363,NA,0,0,0,1,57,chr21,29024777,29027872,+,29024777,29027872,clu_413,clu_419,50,613,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,1,0,chr21:14486114:14488956:-,NA,0,0,0,0,0,NA,0,0,0,1,0,NA,0,0,0,0,1,NA,0,0,0,0,1,NA,0,0,0,1,9,NA,0,0,0,0,0,NA,0,0,0,0,2,Inf,0,1,1,5,9,NA,0,0,0,0,5,NA,0,0,0,1,10,Inf,0,2,2,8,62,Inf,0,2,2,14,133,NA,0,0,0,1,12,chr21,14486114,14488956,-,14488956,14486114,clu_28,clu_39,0,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,3,4,chr21:14486114:14498441:-,NA,0,0,0,2,0,NA,0,0,0,0,2,NA,0,0,0,5,43,NA,0,0,0,21,49,NA,0,0,0,31,162,NA,0,0,0,2,2,NA,0,0,0,8,43,-Inf,1,0,1,35,121,NA,0,0,0,15,81,NA,0,1,1,44,359,-Inf,0,3,3,156,1314,-Inf,0,3,3,335,4957,NA,0,1,1,12,803,chr21,14486114,14498441,-,14498441,14486114,clu_31,clu_39,32,239,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:29063530:29064697:-,NA,0,0,0,0,1,NA,0,0,0,0,0,NA,0,0,0,1,4,NA,0,0,0,1,1,NA,0,0,0,0,6,NA,0,0,0,0,0,NA,0,0,0,0,2,-Inf,0,0,0,3,4,NA,0,1,1,0,7,Inf,0,1,1,1,20,Inf,0,1,1,7,51,Inf,0,6,6,12,206,Inf,0,0,0,0,25,chr21,29063530,29064697,-,29064697,29063530,clu_498,clu_517,1,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:29063530:29064967:-,NA,0,0,0,0,1,NA,0,0,0,0,0,NA,0,0,0,1,4,NA,0,0,0,1,1,NA,0,0,0,1,5,NA,0,0,0,0,0,NA,0,0,0,0,3,Inf,0,0,0,3,5,NA,0,1,1,1,6,-Inf,0,0,0,1,21,-Inf,0,1,1,8,52,-Inf,0,2,2,12,194,-Inf,0,1,1,0,26,chr21,29063530,29064967,-,29064967,29063530,clu_499,clu_517,668,7932,8600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:28971444:28971621:-,NA,0,1,1,0,1,NA,0,0,0,0,0,NA,0,0,0,1,3,NA,0,0,0,0,3,NA,0,1,1,1,6,NA,0,0,0,0,0,NA,0,1,1,0,3,NA,0,0,0,3,6,NA,0,0,0,1,8,Inf,0,2,2,1,23,Inf,1,2,3,7,53,Inf,3,9,12,13,209,NA,1,2,3,1,28,chr21,28971444,28971621,-,28971621,28971444,clu_372,clu_389,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
