E/B/M_five.obs.logOR.ratio,E/B/M_obs.wt,E/B/M_obs.mut,E/B/M_total.reads.per.junction,E/B/M_five.wt.cluster.cov,E/B/M_five.mut.cluster.cov,intron_junction,Tcells_five.obs.logOR.ratio,Tcells_obs.wt,Tcells_obs.mut,Tcells_total.reads.per.junction,Tcells_five.wt.cluster.cov,Tcells_five.mut.cluster.cov,PreB_five.obs.logOR.ratio,PreB_obs.wt,PreB_obs.mut,PreB_total.reads.per.junction,PreB_five.wt.cluster.cov,PreB_five.mut.cluster.cov,DC_five.obs.logOR.ratio,DC_obs.wt,DC_obs.mut,DC_total.reads.per.junction,DC_five.wt.cluster.cov,DC_five.mut.cluster.cov,HSPC_five.obs.logOR.ratio,HSPC_obs.wt,HSPC_obs.mut,HSPC_total.reads.per.junction,HSPC_five.wt.cluster.cov,HSPC_five.mut.cluster.cov,IMP_five.obs.logOR.ratio,IMP_obs.wt,IMP_obs.mut,IMP_total.reads.per.junction,IMP_five.wt.cluster.cov,IMP_five.mut.cluster.cov,Bcells_five.obs.logOR.ratio,Bcells_obs.wt,Bcells_obs.mut,Bcells_total.reads.per.junction,Bcells_five.wt.cluster.cov,Bcells_five.mut.cluster.cov,NP_five.obs.logOR.ratio,NP_obs.wt,NP_obs.mut,NP_total.reads.per.junction,NP_five.wt.cluster.cov,NP_five.mut.cluster.cov,Mat_Mono_five.obs.logOR.ratio,Mat_Mono_obs.wt,Mat_Mono_obs.mut,Mat_Mono_total.reads.per.junction,Mat_Mono_five.wt.cluster.cov,Mat_Mono_five.mut.cluster.cov,MonoDC_five.obs.logOR.ratio,MonoDC_obs.wt,MonoDC_obs.mut,MonoDC_total.reads.per.junction,MonoDC_five.wt.cluster.cov,MonoDC_five.mut.cluster.cov,MkP_five.obs.logOR.ratio,MkP_obs.wt,MkP_obs.mut,MkP_total.reads.per.junction,MkP_five.wt.cluster.cov,MkP_five.mut.cluster.cov,MEP_five.obs.logOR.ratio,MEP_obs.wt,MEP_obs.mut,MEP_total.reads.per.junction,MEP_five.wt.cluster.cov,MEP_five.mut.cluster.cov,EP_five.obs.logOR.ratio,EP_obs.wt,EP_obs.mut,EP_total.reads.per.junction,EP_five.wt.cluster.cov,EP_five.mut.cluster.cov,None_five.obs.logOR.ratio,None_obs.wt,None_obs.mut,None_total.reads.per.junction,None_five.wt.cluster.cov,None_five.mut.cluster.cov,chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,obs.wt,obs.mut,total.reads.per.junction,None_pvalue,EP_pvalue,MEP_pvalue,MkP_pvalue,MonoDC_pvalue,Mat_Mono_pvalue,NP_pvalue,Bcells_pvalue,IMP_pvalue,HSPC_pvalue,DC_pvalue,PreB_pvalue,Tcells_pvalue,E/B/M_pvalue
NA,0,0,0,0,0,chr21:33276753:33279751:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,3,3,6,3,3,NA,1,1,2,1,1,NA,0,2,2,0,2,NA,0,0,0,0,0,NA,0,1,1,0,1,-Inf,9,20,29,9,22,-Inf,1,4,5,1,5,-Inf,4,12,16,4,13,-Inf,6,33,39,6,34,-Inf,7,78,85,7,84,NA,0,7,7,0,8,chr21,33276753,33279751,+,33276753,33279751,clu_857,clu_861,31,161,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33268517:33279751:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,3,3,NA,0,0,0,1,1,NA,0,0,0,0,2,NA,0,0,0,0,0,NA,0,0,0,0,1,Inf,0,2,2,9,22,Inf,0,1,1,1,5,Inf,0,1,1,4,13,Inf,0,1,1,6,34,Inf,0,6,6,7,84,NA,0,1,1,0,8,chr21,33268517,33279751,+,33268517,33279751,clu_856,clu_861,0,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33341174:33345245:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,4,NA,0,0,0,1,1,NA,0,0,0,0,4,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,0,2,2,12,23,NA,0,0,0,1,7,NA,0,0,0,0,6,Inf,0,1,1,3,45,Inf,0,3,3,10,180,NA,0,0,0,1,26,chr21,33341174,33345245,+,33341174,33345245,clu_873,clu_887,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33343676:33345245:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,4,5,1,4,NA,1,1,2,1,1,NA,0,4,4,0,4,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,12,21,33,12,23,NA,1,7,8,1,7,NA,0,6,6,0,6,-Inf,3,44,47,3,45,-Inf,10,177,187,10,180,NA,1,26,27,1,26,chr21,33343676,33345245,+,33343676,33345245,clu_876,clu_887,29,290,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33343422:33343534:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,4,5,1,4,NA,1,1,2,1,1,NA,0,4,4,0,4,NA,0,1,1,0,1,NA,0,2,2,0,2,NA,12,17,29,12,17,-Inf,2,6,8,2,7,-Inf,1,5,6,1,6,1.58412010444981,2,39,41,3,43,0.361790044605503,9,168,177,10,181,NA,1,26,27,1,26,chr21,33343422,33343534,+,33343422,33343534,clu_875,clu_884,29,273,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33341174:33343534:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,1,3,3,NA,0,0,0,1,1,NA,0,0,0,0,2,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,1,1,8,19,Inf,0,0,0,1,4,Inf,0,0,0,4,11,-1.58412010444981,1,0,1,6,32,-0.361790044605503,0,2,2,7,77,NA,0,0,0,0,5,chr21,33341174,33343534,+,33341174,33343534,clu_873,clu_884,2,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33266514:33276595:+,NA,0,0,0,0,0,NA,0,0,0,0,0,-Inf,0,0,0,1,4,NA,0,0,0,1,1,NA,0,0,0,0,4,NA,0,0,0,0,1,NA,0,0,0,0,2,Inf,0,0,0,12,17,NA,0,1,1,2,7,NA,0,1,1,1,6,-Inf,1,4,5,3,43,Inf,1,13,14,10,181,NA,0,0,0,1,26,chr21,33266514,33276595,+,33266514,33276595,clu_854,clu_859,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33268517:33276595:+,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,0,0,0,1,4,NA,0,0,0,1,1,NA,0,0,0,0,4,NA,0,0,0,0,1,NA,0,0,0,0,4,-Inf,1,0,1,11,15,NA,0,0,0,2,7,NA,0,0,0,1,6,Inf,0,0,0,2,44,-Inf,0,5,5,10,167,NA,0,1,1,1,27,chr21,33268517,33276595,+,33268517,33276595,clu_856,clu_859,28,152,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33335647:33343267:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,4,5,1,4,NA,1,1,2,1,1,NA,0,4,4,0,4,NA,0,1,1,0,1,NA,0,4,4,0,4,-Inf,10,15,25,11,15,NA,2,7,9,2,7,NA,1,6,7,1,6,NA,2,44,46,2,44,Inf,10,162,172,10,167,Inf,1,26,27,1,27,chr21,33335647,33343267,+,33335647,33343267,clu_872,clu_883,1,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33341174:33343267:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,2,3,5,3,3,NA,1,1,2,1,1,NA,0,2,2,0,2,NA,0,0,0,0,0,NA,0,1,1,0,1,Inf,8,18,26,8,19,NA,1,4,5,1,4,NA,4,11,15,4,11,NA,5,32,37,6,32,-Inf,7,75,82,7,77,-Inf,0,5,5,0,5,chr21,33341174,33343267,+,33341174,33343267,clu_873,clu_883,28,274,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
