E/B/M_five.obs.logOR.ratio,E/B/M_obs.wt,E/B/M_obs.mut,E/B/M_total.reads.per.junction,E/B/M_five.wt.cluster.cov,E/B/M_five.mut.cluster.cov,intron_junction,Tcells_five.obs.logOR.ratio,Tcells_obs.wt,Tcells_obs.mut,Tcells_total.reads.per.junction,Tcells_five.wt.cluster.cov,Tcells_five.mut.cluster.cov,PreB_five.obs.logOR.ratio,PreB_obs.wt,PreB_obs.mut,PreB_total.reads.per.junction,PreB_five.wt.cluster.cov,PreB_five.mut.cluster.cov,DC_five.obs.logOR.ratio,DC_obs.wt,DC_obs.mut,DC_total.reads.per.junction,DC_five.wt.cluster.cov,DC_five.mut.cluster.cov,HSPC_five.obs.logOR.ratio,HSPC_obs.wt,HSPC_obs.mut,HSPC_total.reads.per.junction,HSPC_five.wt.cluster.cov,HSPC_five.mut.cluster.cov,IMP_five.obs.logOR.ratio,IMP_obs.wt,IMP_obs.mut,IMP_total.reads.per.junction,IMP_five.wt.cluster.cov,IMP_five.mut.cluster.cov,Bcells_five.obs.logOR.ratio,Bcells_obs.wt,Bcells_obs.mut,Bcells_total.reads.per.junction,Bcells_five.wt.cluster.cov,Bcells_five.mut.cluster.cov,NP_five.obs.logOR.ratio,NP_obs.wt,NP_obs.mut,NP_total.reads.per.junction,NP_five.wt.cluster.cov,NP_five.mut.cluster.cov,Mat_Mono_five.obs.logOR.ratio,Mat_Mono_obs.wt,Mat_Mono_obs.mut,Mat_Mono_total.reads.per.junction,Mat_Mono_five.wt.cluster.cov,Mat_Mono_five.mut.cluster.cov,MonoDC_five.obs.logOR.ratio,MonoDC_obs.wt,MonoDC_obs.mut,MonoDC_total.reads.per.junction,MonoDC_five.wt.cluster.cov,MonoDC_five.mut.cluster.cov,MkP_five.obs.logOR.ratio,MkP_obs.wt,MkP_obs.mut,MkP_total.reads.per.junction,MkP_five.wt.cluster.cov,MkP_five.mut.cluster.cov,MEP_five.obs.logOR.ratio,MEP_obs.wt,MEP_obs.mut,MEP_total.reads.per.junction,MEP_five.wt.cluster.cov,MEP_five.mut.cluster.cov,EP_five.obs.logOR.ratio,EP_obs.wt,EP_obs.mut,EP_total.reads.per.junction,EP_five.wt.cluster.cov,EP_five.mut.cluster.cov,None_five.obs.logOR.ratio,None_obs.wt,None_obs.mut,None_total.reads.per.junction,None_five.wt.cluster.cov,None_five.mut.cluster.cov,chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,obs.wt,obs.mut,total.reads.per.junction,None_pvalue,EP_pvalue,MEP_pvalue,MkP_pvalue,MonoDC_pvalue,Mat_Mono_pvalue,NP_pvalue,Bcells_pvalue,IMP_pvalue,HSPC_pvalue,DC_pvalue,PreB_pvalue,Tcells_pvalue,E/B/M_pvalue
NA,0,0,0,0,0,chr21:33572630:33573307:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,1,0,Inf,0,1,1,1,3,NA,0,0,0,0,0,NA,0,0,0,0,6,NA,0,0,0,3,5,NA,0,0,0,0,2,NA,0,0,0,0,7,Inf,0,1,1,1,20,Inf,0,2,2,6,87,NA,0,2,2,0,18,chr21,33572630,33573307,+,33572630,33573307,clu_991,clu_1024,0,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,1,chr21:33569087:33573307:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,4,-Inf,0,0,0,4,8,NA,0,0,0,0,0,NA,0,0,0,2,4,NA,0,0,0,5,22,NA,0,0,0,2,6,NA,2,0,2,3,18,-Inf,1,2,3,9,53,-Inf,0,6,6,14,201,NA,0,1,1,1,25,chr21,33569087,33573307,+,33569087,33573307,clu_989,clu_1024,12,143,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33548672:33549475:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,1,0,1,1,0,NA,1,2,3,1,3,NA,0,0,0,0,0,NA,0,6,6,0,6,NA,3,5,8,3,5,NA,0,2,2,0,2,-Inf,0,7,7,0,7,-1.15923691048454,1,19,20,1,20,Inf,6,85,91,6,87,Inf,0,16,16,0,18,chr21,33548672,33549475,+,33548672,33549475,clu_972,clu_1002,3,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:33546379:33549475:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,5,5,0,5,NA,0,0,0,1,0,NA,1,5,6,1,5,NA,1,0,1,1,0,NA,0,1,1,0,1,NA,1,5,6,1,6,NA,0,2,2,0,3,Inf,0,9,9,0,9,1.15923691048454,6,38,44,6,41,-Inf,14,108,122,14,119,-Inf,0,17,17,0,18,chr21,33546379,33549475,+,33546379,33549475,clu_970,clu_1002,37,334,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,1,1,0,1,chr21:34073745:34102834:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,4,4,0,4,NA,4,8,12,4,8,NA,0,0,0,0,0,NA,2,4,6,2,4,-Inf,5,22,27,5,22,NA,2,6,8,2,6,NA,1,18,19,3,18,-Inf,8,51,59,9,53,-Inf,14,195,209,14,201,NA,1,24,25,1,25,chr21,34073745,34102834,+,34073745,34102834,clu_1122,clu_1159,23,190,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34073268:34102834:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,0,0,0,0,NA,0,0,0,0,0,Inf,1,1,2,2,2,NA,0,0,0,0,0,NA,0,1,1,0,2,Inf,0,1,1,0,1,Inf,0,14,14,0,16,NA,0,1,1,0,1,chr21,34073268,34102834,+,34073268,34102834,clu_1118,clu_1159,1,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:15808885:15811136:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,0,NA,0,0,0,0,0,0,1,1,2,2,2,NA,0,0,0,0,0,NA,0,1,1,0,2,NA,0,0,0,0,1,NA,0,2,2,0,16,NA,0,0,0,0,1,chr21,15808885,15811136,+,15808885,15811136,clu_108,clu_111,1,19,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:15805258:15811136:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,5,NA,1,0,1,1,0,NA,0,0,0,1,5,NA,0,0,0,1,0,NA,0,0,0,0,1,0,0,1,1,1,6,NA,0,1,1,0,3,NA,0,0,0,0,9,NA,0,3,3,6,41,NA,0,11,11,14,119,NA,0,1,1,0,18,chr21,15805258,15811136,+,15805258,15811136,clu_107,clu_111,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34073745:34094862:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,4,4,0,4,NA,0,0,0,0,0,NA,0,1,1,0,1,NA,0,5,5,0,5,NA,0,4,4,0,4,NA,0,5,5,0,5,-Inf,1,22,23,1,25,1.7730673362159,3,53,56,4,56,NA,0,7,7,0,8,chr21,34073745,34094862,+,34073745,34094862,clu_1122,clu_1155,4,102,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0,chr21:34094179:34094862:+,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,4,NA,0,0,0,0,0,NA,0,0,0,0,1,NA,0,0,0,0,5,NA,0,0,0,0,4,NA,0,0,0,0,5,Inf,0,3,3,1,25,-1.7730673362159,1,3,4,4,56,NA,0,1,1,0,8,chr21,34094179,34094862,+,34094179,34094862,clu_1125,clu_1155,1,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
