chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction
chr21,33546379,33548629,+,33546379,33548629,clu_970,clu_1001,chr21:33546379:33548629:+,3,10,13
chr21,33575893,33576364,+,33575893,33576364,clu_995,clu_1028,chr21:33575893:33576364:+,9,116,125
chr21,33575893,33576417,+,33575893,33576417,clu_995,clu_1030,chr21:33575893:33576417:+,11,148,159
chr21,33557316,33559229,+,33557316,33559229,clu_983,clu_1016,chr21:33557316:33559229:+,8,62,70
chr21,33268517,33279751,+,33268517,33279751,clu_856,clu_861,chr21:33268517:33279751:+,0,12,12
chr21,33341174,33345245,+,33341174,33345245,clu_873,clu_887,chr21:33341174:33345245:+,0,6,6
chr21,33569087,33573307,+,33569087,33573307,clu_989,clu_1024,chr21:33569087:33573307:+,12,143,155
chr21,33559775,33559876,+,33559775,33559876,clu_987,clu_1019,chr21:33559775:33559876:+,3,28,31
chr21,33546379,33549475,+,33546379,33549475,clu_970,clu_1002,chr21:33546379:33549475:+,37,334,371
chr21,33559775,33567156,+,33559775,33567156,clu_987,clu_1020,chr21:33559775:33567156:+,13,111,124
chr21,33266514,33268393,+,33266514,33268393,clu_854,clu_854,chr21:33266514:33268393:+,28,165,193
chr21,33345360,33348549,+,33345360,33348549,clu_879,clu_888,chr21:33345360:33348549:+,1,4,5
chr21,33266514,33276595,+,33266514,33276595,clu_854,clu_859,chr21:33266514:33276595:+,2,3,5
chr21,33557316,33557545,+,33557316,33557545,clu_983,clu_1014,chr21:33557316:33557545:+,0,5,5
chr21,33345360,33349090,+,33345360,33349090,clu_879,clu_891,chr21:33345360:33349090:+,28,279,307
chr21,33341174,33343534,+,33341174,33343534,clu_873,clu_884,chr21:33341174:33343534:+,2,19,21
chr21,33335647,33343267,+,33335647,33343267,clu_872,clu_883,chr21:33335647:33343267:+,1,6,7
chr21,33341174,33343267,+,33341174,33343267,clu_873,clu_883,chr21:33341174:33343267:+,28,274,302
chr21,33569087,33572550,+,33569087,33572550,clu_989,clu_1023,chr21:33569087:33572550:+,0,5,5
chr21,33335647,33341077,+,33335647,33341077,clu_872,clu_881,chr21:33335647:33341077:+,0,11,11
chr21,33335647,33340998,+,33335647,33340998,clu_872,clu_880,chr21:33335647:33340998:+,33,296,329
chr21,33268517,33276595,+,33268517,33276595,clu_856,clu_859,chr21:33268517:33276595:+,28,152,180
chr21,15405929,15441225,-,15441225,15405929,clu_91,clu_95,chr21:15405929:15441225:-,2,8,10
chr21,33539356,33542064,-,33542064,33539356,clu_963,clu_995,chr21:33539356:33542064:-,39,694,733
chr21,33530884,33531488,-,33531488,33530884,clu_943,clu_983,chr21:33530884:33531488:-,53,838,891
chr21,33535320,33542064,-,33542064,33535320,clu_963,clu_992,chr21:33535320:33542064:-,1,6,7
chr21,32741622,32743247,-,32743247,32741622,clu_812,clu_814,chr21:32741622:32743247:-,2,10,12
chr21,15405764,15444023,-,15444023,15405764,clu_95,clu_94,chr21:15405764:15444023:-,1,7,8
chr21,33509920,33511251,-,33511251,33509920,clu_922,clu_952,chr21:33509920:33511251:-,12,272,284
chr21,15441348,15444023,-,15444023,15441348,clu_95,clu_99,chr21:15441348:15444023:-,1,11,12
chr21,15405764,15441225,-,15441225,15405764,clu_91,clu_94,chr21:15405764:15441225:-,1,7,8
chr21,33539323,33542064,-,33542064,33539323,clu_963,clu_994,chr21:33539323:33542064:-,1,16,17
chr21,33520562,33520905,-,33520905,33520562,clu_929,clu_966,chr21:33520562:33520905:-,16,227,243
chr21,33524484,33524768,-,33524768,33524484,clu_933,clu_974,chr21:33524484:33524768:-,0,8,8
chr21,33522282,33524768,-,33524768,33522282,clu_933,clu_970,chr21:33522282:33524768:-,18,227,245
chr21,33520645,33520905,-,33520905,33520645,clu_929,clu_967,chr21:33520645:33520905:-,2,4,6
chr21,33506104,33511251,-,33511251,33506104,clu_922,clu_949,chr21:33506104:33511251:-,0,5,5
chr21,32738319,32743247,-,32743247,32738319,clu_812,clu_812,chr21:32738319:32743247:-,3,27,30
chr21,15400549,15444023,-,15444023,15400549,clu_95,clu_86,chr21:15400549:15444023:-,0,7,7
chr21,33528937,33531488,-,33531488,33528937,clu_943,clu_981,chr21:33528937:33531488:-,1,10,11
chr21,15441847,15444023,-,15444023,15441847,clu_95,clu_100,chr21:15441847:15444023:-,3,5,8
chr21,15405929,15444023,-,15444023,15405929,clu_95,clu_95,chr21:15405929:15444023:-,0,6,6
chr21,32738214,32743247,-,32743247,32738214,clu_812,clu_811,chr21:32738214:32743247:-,1,7,8
