chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction
chr21,17513172,17547026,+,17513172,17547026,clu_144,clu_150,chr21:17513172:17547026:+,2,110,112
chr21,37156906,37157160,+,37156906,37157160,clu_1364,clu_1392,chr21:37156906:37157160:+,5,69,74
chr21,37156906,37158130,+,37156906,37158130,clu_1364,clu_1393,chr21:37156906:37158130:+,1,6,7
chr21,37073473,37087246,+,37073473,37087246,clu_1313,clu_1349,chr21:37073473:37087246:+,1,22,23
chr21,37147603,37148545,+,37147603,37148545,clu_1349,clu_1378,chr21:37147603:37148545:+,13,198,211
chr21,37157214,37158130,+,37157214,37158130,clu_1365,clu_1393,chr21:37157214:37158130:+,5,28,33
chr21,37157214,37159698,+,37157214,37159698,clu_1365,clu_1394,chr21:37157214:37159698:+,1,45,46
chr21,38823548,38824245,+,38823548,38824245,clu_1510,clu_1551,chr21:38823548:38824245:+,0,7,7
chr21,38821704,38822673,+,38821704,38822673,clu_1506,clu_1545,chr21:38821704:38822673:+,16,120,136
chr21,37198025,37200231,+,37198025,37200231,clu_1403,clu_1431,chr21:37198025:37200231:+,5,37,42
chr21,37198025,37200213,+,37198025,37200213,clu_1403,clu_1430,chr21:37198025:37200213:+,0,6,6
chr21,37096643,37097914,+,37096643,37097914,clu_1329,clu_1362,chr21:37096643:37097914:+,0,8,8
chr21,37156906,37159698,+,37156906,37159698,clu_1364,clu_1394,chr21:37156906:37159698:+,15,311,326
chr21,17513172,17531590,+,17513172,17531590,clu_144,clu_147,chr21:17513172:17531590:+,0,7,7
chr21,38823548,38823893,+,38823548,38823893,clu_1510,clu_1550,chr21:38823548:38823893:+,0,10,10
chr21,37147603,37150077,+,37147603,37150077,clu_1349,clu_1379,chr21:37147603:37150077:+,0,7,7
chr21,37073473,37108391,+,37073473,37108391,clu_1313,clu_1364,chr21:37073473:37108391:+,0,11,11
chr21,38821704,38823489,+,38821704,38823489,clu_1506,clu_1548,chr21:38821704:38823489:+,0,5,5
chr21,38823548,38824288,+,38823548,38824288,clu_1510,clu_1552,chr21:38823548:38824288:+,1,16,17
chr21,37096643,37108391,+,37096643,37108391,clu_1329,clu_1364,chr21:37096643:37108391:+,1,66,67
chr21,39180406,39181771,-,39181771,39180406,clu_1536,clu_1585,chr21:39180406:39181771:-,1,12,13
chr21,39180436,39183251,-,39183251,39180436,clu_1542,clu_1587,chr21:39180436:39183251:-,6,140,146
chr21,37231590,37232376,-,37232376,37231590,clu_1423,clu_1465,chr21:37231590:37232376:-,0,19,19
chr21,39178568,39179923,-,39179923,39178568,clu_1526,clu_1576,chr21:39178568:39179923:-,9,72,81
chr21,38395580,38400573,-,38400573,38395580,clu_1472,clu_1519,chr21:38395580:38400573:-,0,10,10
chr21,39181878,39183251,-,39183251,39181878,clu_1542,clu_1592,chr21:39181878:39183251:-,343,4418,4761
chr21,39178647,39180284,-,39180284,39178647,clu_1530,clu_1579,chr21:39178647:39180284:-,28,339,367
chr21,39179966,39183251,-,39183251,39179966,clu_1542,clu_1582,chr21:39179966:39183251:-,0,12,12
chr21,37240639,37267237,-,37267237,37240639,clu_1435,clu_1471,chr21:37240639:37267237:-,14,133,147
chr21,37232451,37267237,-,37267237,37232451,clu_1435,clu_1467,chr21:37232451:37267237:-,0,5,5
chr21,37228373,37232376,-,37232376,37228373,clu_1423,clu_1462,chr21:37228373:37232376:-,14,118,132
chr21,39180406,39183251,-,39183251,39180406,clu_1542,clu_1585,chr21:39180406:39183251:-,0,6,6
chr21,39179971,39180284,-,39180284,39179971,clu_1530,clu_1583,chr21:39179971:39180284:-,7,98,105
chr21,39178627,39179923,-,39179923,39178627,clu_1526,clu_1578,chr21:39178627:39179923:-,1,6,7
chr21,38400645,38402556,-,38402556,38400645,clu_1473,clu_1520,chr21:38400645:38402556:-,6,26,32
chr21,39179966,39180284,-,39180284,39179966,clu_1530,clu_1582,chr21:39179966:39180284:-,6,65,71
chr21,39177571,39180284,-,39180284,39177571,clu_1530,clu_1568,chr21:39177571:39180284:-,0,13,13
chr21,39181901,39183251,-,39183251,39181901,clu_1542,clu_1593,chr21:39181901:39183251:-,10,181,191
chr21,38474121,38498362,-,38498362,38474121,clu_1485,clu_1531,chr21:38474121:38498362:-,3,6,9
chr21,39180436,39181771,-,39181771,39180436,clu_1536,clu_1587,chr21:39180436:39181771:-,359,4673,5032
chr21,39179986,39183251,-,39183251,39179986,clu_1542,clu_1584,chr21:39179986:39183251:-,0,9,9
chr21,38392444,38400573,-,38400573,38392444,clu_1472,clu_1516,chr21:38392444:38400573:-,4,6,10
chr21,38445621,38498362,-,38498362,38445621,clu_1485,clu_1527,chr21:38445621:38498362:-,10,51,61
chr21,38392444,38402556,-,38402556,38392444,clu_1473,clu_1516,chr21:38392444:38402556:-,3,11,14
chr21,37261937,37267237,-,37267237,37261937,clu_1435,clu_1474,chr21:37261937:37267237:-,14,143,157
chr21,37233442,37238459,-,37238459,37233442,clu_1426,clu_1468,chr21:37233442:37238459:-,12,119,131
chr21,39177571,39183251,-,39183251,39177571,clu_1542,clu_1568,chr21:39177571:39183251:-,0,14,14
chr21,39178647,39179923,-,39179923,39178647,clu_1526,clu_1579,chr21:39178647:39179923:-,336,4494,4830
chr21,37232451,37238459,-,37238459,37232451,clu_1426,clu_1467,chr21:37232451:37238459:-,2,12,14
chr21,39179986,39180284,-,39180284,39179986,clu_1530,clu_1584,chr21:39179986:39180284:-,329,4371,4700
