chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction
chr21,31659841,31667257,+,31659841,31667257,clu_621,clu_625,chr21:31659841:31667257:+,2,21,23
chr21,31659841,31663789,+,31659841,31663789,clu_621,clu_614,chr21:31659841:31663789:+,1194,13694,14888
chr21,29092581,29149188,+,29092581,29149188,clu_553,clu_558,chr21:29092581:29149188:+,0,6,6
chr21,31659841,31663794,+,31659841,31663794,clu_621,clu_615,chr21:31659841:31663794:+,37,317,354
chr21,29298953,29321220,+,29298953,29321220,clu_566,clu_563,chr21:29298953:29321220:+,13,101,114
chr21,31659786,31663794,+,31659786,31663794,clu_619,clu_615,chr21:31659786:31663794:+,0,5,5
chr21,31659841,31663810,+,31659841,31663810,clu_621,clu_617,chr21:31659841:31663810:+,0,5,5
chr21,29092581,29109039,+,29092581,29109039,clu_553,clu_554,chr21:29092581:29109039:+,0,20,20
chr21,31659841,31666448,+,31659841,31666448,clu_621,clu_622,chr21:31659841:31666448:+,6,106,112
chr21,31659786,31663789,+,31659786,31663789,clu_619,clu_614,chr21:31659786:31663789:+,3,11,14
chr21,29298953,29305203,+,29298953,29305203,clu_566,clu_562,chr21:29298953:29305203:+,11,59,70
chr21,31659841,31660554,+,31659841,31660554,clu_621,clu_611,chr21:31659841:31660554:+,1,14,15
chr21,15385689,15390577,-,15390577,15385689,clu_70,clu_77,chr21:15385689:15390577:-,2,20,22
chr21,31685240,31685397,-,31685397,31685240,clu_649,clu_649,chr21:31685240:31685397:-,1,8,9
chr21,29069502,29073530,-,29073530,29069502,clu_538,clu_535,chr21:29069502:29073530:-,0,6,6
chr21,32603288,32604120,-,32604120,32603288,clu_752,clu_762,chr21:32603288:32604120:-,2,17,19
chr21,32609954,32612104,-,32612104,32609954,clu_769,clu_771,chr21:32609954:32612104:-,4,47,51
chr21,32601973,32603160,-,32603160,32601973,clu_750,clu_756,chr21:32601973:32603160:-,2,40,42
chr21,32270529,32274829,-,32274829,32270529,clu_680,clu_682,chr21:32270529:32274829:-,90,1087,1177
chr21,29064836,29064967,-,29064967,29064836,clu_499,clu_519,chr21:29064836:29064967:-,1,7,8
chr21,32603288,32604124,-,32604124,32603288,clu_753,clu_762,chr21:32603288:32604124:-,2,29,31
chr21,15370911,15390577,-,15390577,15370911,clu_70,clu_74,chr21:15370911:15390577:-,3,37,40
chr21,32269117,32270406,-,32270406,32269117,clu_677,clu_678,chr21:32269117:32270406:-,1,12,13
chr21,29065091,29066715,-,29066715,29065091,clu_503,clu_523,chr21:29065091:29066715:-,0,6,6
chr21,29067071,29067555,-,29067555,29067071,clu_517,clu_529,chr21:29067071:29067555:-,678,8004,8682
chr21,32700105,32701960,-,32701960,32700105,clu_801,clu_802,chr21:32700105:32701960:-,0,30,30
chr21,15394506,15394999,-,15394999,15394506,clu_73,clu_81,chr21:15394506:15394999:-,2,44,46
chr21,32695282,32701960,-,32701960,32695282,clu_801,clu_801,chr21:32695282:32701960:-,2,13,15
chr21,32603292,32604124,-,32604124,32603292,clu_753,clu_763,chr21:32603292:32604124:-,114,1159,1273
chr21,32610005,32612104,-,32612104,32610005,clu_769,clu_773,chr21:32610005:32612104:-,126,1373,1499
chr21,29067705,29073530,-,29073530,29067705,clu_538,clu_532,chr21:29067705:29073530:-,0,8,8
chr21,32269803,32270406,-,32270406,32269803,clu_677,clu_681,chr21:32269803:32270406:-,89,1083,1172
chr21,29062556,29064967,-,29064967,29062556,clu_499,clu_511,chr21:29062556:29064967:-,2,15,17
chr21,29071988,29073530,-,29073530,29071988,clu_538,clu_540,chr21:29071988:29073530:-,1,14,15
chr21,15370911,15385621,-,15385621,15370911,clu_67,clu_74,chr21:15370911:15385621:-,2,11,13
chr21,31685174,31685397,-,31685397,31685174,clu_649,clu_648,chr21:31685174:31685397:-,0,11,11
chr21,32607716,32612104,-,32612104,32607716,clu_769,clu_766,chr21:32607716:32612104:-,2,21,23
chr21,32603292,32604120,-,32604120,32603292,clu_752,clu_763,chr21:32603292:32604120:-,0,6,6
chr21,32602367,32603160,-,32603160,32602367,clu_750,clu_757,chr21:32602367:32603160:-,92,828,920
chr21,15390618,15394999,-,15394999,15390618,clu_73,clu_79,chr21:15390618:15394999:-,4,15,19
chr21,29070337,29073530,-,29073530,29070337,clu_538,clu_539,chr21:29070337:29073530:-,661,7683,8344
chr21,29065105,29066715,-,29066715,29065105,clu_503,clu_524,chr21:29065105:29066715:-,685,8164,8849
chr21,15383173,15385621,-,15385621,15383173,clu_67,clu_75,chr21:15383173:15385621:-,0,6,6
chr21,29066777,29067555,-,29067555,29066777,clu_517,clu_526,chr21:29066777:29067555:-,4,32,36
chr21,32582415,32603160,-,32603160,32582415,clu_750,clu_744,chr21:32582415:32603160:-,0,9,9
chr21,32269803,32274829,-,32274829,32269803,clu_680,clu_681,chr21:32269803:32274829:-,0,5,5
chr21,29063530,29064967,-,29064967,29063530,clu_499,clu_517,chr21:29063530:29064967:-,668,7932,8600
chr21,29061336,29064967,-,29064967,29061336,clu_499,clu_494,chr21:29061336:29064967:-,1,4,5
