chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction
chr21,29024777,29025708,+,29024777,29025708,clu_413,clu_417,chr21:29024777:29025708:+,1,4,5
chr21,29043599,29047227,+,29043599,29047227,clu_450,clu_445,chr21:29043599:29047227:+,0,5,5
chr21,29027974,29030594,+,29027974,29030594,clu_426,clu_422,chr21:29027974:29030594:+,58,655,713
chr21,14084144,14143508,+,14084144,14143508,clu_4,clu_15,chr21:14084144:14143508:+,1,8,9
chr21,29036374,29037275,+,29036374,29037275,clu_433,clu_427,chr21:29036374:29037275:+,15,267,282
chr21,29024777,29026566,+,29024777,29026566,clu_413,clu_418,chr21:29024777:29026566:+,2,6,8
chr21,29024777,29027872,+,29024777,29027872,clu_413,clu_419,chr21:29024777:29027872:+,50,613,663
chr21,14084144,14088608,+,14084144,14088608,clu_4,clu_6,chr21:14084144:14088608:+,5,30,35
chr21,29036374,29037278,+,29036374,29037278,clu_433,clu_428,chr21:29036374:29037278:+,23,238,261
chr21,29027974,29030143,+,29027974,29030143,clu_426,clu_421,chr21:29027974:29030143:+,0,7,7
chr21,29043599,29046666,+,29043599,29046666,clu_450,clu_443,chr21:29043599:29046666:+,2,67,69
chr21,29062415,29062489,-,29062489,29062415,clu_486,clu_508,chr21:29062415:29062489:-,646,7586,8232
chr21,29008307,29008394,-,29008394,29008307,clu_405,clu_408,chr21:29008307:29008394:-,6,142,148
chr21,28986228,28986726,-,28986726,28986228,clu_384,clu_398,chr21:28986228:28986726:-,0,14,14
chr21,28971721,28972215,-,28972215,28971721,clu_374,clu_390,chr21:28971721:28972215:-,0,9,9
chr21,28956887,28957331,-,28957331,28956887,clu_357,clu_371,chr21:28956887:28957331:-,1,4,5
chr21,28969601,28970551,-,28970551,28969601,clu_370,clu_387,chr21:28969601:28970551:-,28,306,334
chr21,14512573,14521149,-,14521149,14512573,clu_43,clu_49,chr21:14512573:14521149:-,16,99,115
chr21,28972258,28982315,-,28982315,28972258,clu_377,clu_392,chr21:28972258:28982315:-,0,9,9
chr21,25982477,26000014,-,26000014,25982477,clu_304,clu_313,chr21:25982477:26000014:-,1,17,18
chr21,25997416,26000014,-,26000014,25997416,clu_304,clu_314,chr21:25997416:26000014:-,0,7,7
chr21,28971444,28981118,-,28981118,28971444,clu_375,clu_389,chr21:28971444:28981118:-,21,283,304
chr21,28879953,28882159,-,28882159,28879953,clu_335,clu_350,chr21:28879953:28882159:-,11,195,206
chr21,29062243,29062489,-,29062489,29062243,clu_486,clu_504,chr21:29062243:29062489:-,0,5,5
chr21,14517041,14521149,-,14521149,14517041,clu_43,clu_50,chr21:14517041:14521149:-,21,185,206
chr21,28970742,28982315,-,28982315,28970742,clu_377,clu_388,chr21:28970742:28982315:-,3,7,10
chr21,28971444,28972215,-,28972215,28971444,clu_374,clu_389,chr21:28971444:28972215:-,3,23,26
chr21,14486114,14498441,-,14498441,14486114,clu_31,clu_39,chr21:14486114:14498441:-,32,239,271
chr21,29009692,29019210,-,29019210,29009692,clu_410,clu_412,chr21:29009692:29019210:-,1,29,30
chr21,28971444,28982315,-,28982315,28971444,clu_377,clu_389,chr21:28971444:28982315:-,1,12,13
chr21,14521221,14546204,-,14546204,14521221,clu_48,clu_53,chr21:14521221:14546204:-,37,292,329
chr21,29008123,29008394,-,29008394,29008123,clu_405,clu_407,chr21:29008123:29008394:-,6,27,33
chr21,14489063,14498441,-,14498441,14489063,clu_31,clu_40,chr21:14489063:14498441:-,0,6,6
chr21,28972258,28981118,-,28981118,28972258,clu_375,clu_392,chr21:28972258:28981118:-,4,26,30
chr21,28956948,28957331,-,28957331,28956948,clu_357,clu_373,chr21:28956948:28957331:-,2,33,35
chr21,28967179,28970551,-,28970551,28967179,clu_370,clu_383,chr21:28967179:28970551:-,0,10,10
chr21,14525180,14546204,-,14546204,14525180,clu_48,clu_55,chr21:14525180:14546204:-,1,8,9
chr21,28981299,28982315,-,28982315,28981299,clu_377,clu_394,chr21:28981299:28982315:-,23,313,336
chr21,28986237,28986726,-,28986726,28986237,clu_384,clu_399,chr21:28986237:28986726:-,2,47,49
chr21,28878333,28882159,-,28882159,28878333,clu_335,clu_349,chr21:28878333:28882159:-,7,69,76
chr21,29006651,29008394,-,29008394,29006651,clu_405,clu_406,chr21:29006651:29008394:-,1,27,28
chr21,29008621,29019210,-,29019210,29008621,clu_410,clu_409,chr21:29008621:29019210:-,12,184,196
