chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction
chr21,46660962,46661799,+,46660962,46661799,clu_2879,clu_2894,chr21:46660962:46661799:+,4,66,70
chr21,25741675,25745209,+,25741675,25745209,clu_280,clu_288,chr21:25741675:25745209:+,13,111,124
chr21,25735578,25741572,+,25735578,25741572,clu_274,clu_287,chr21:25735578:25741572:+,5,75,80
chr21,46291462,46296161,+,46291462,46296161,clu_2740,clu_2744,chr21:46291462:46296161:+,28,254,282
chr21,46326589,46334396,+,46326589,46334396,clu_2773,clu_2779,chr21:46326589:46334396:+,17,170,187
chr21,46286743,46286869,+,46286743,46286869,clu_2737,clu_2740,chr21:46286743:46286869:+,0,7,7
chr21,46649739,46664294,+,46649739,46664294,clu_2876,clu_2897,chr21:46649739:46664294:+,3,20,23
chr21,46649739,46663382,+,46649739,46663382,clu_2876,clu_2895,chr21:46649739:46663382:+,1,5,6
chr21,46636547,46636895,+,46636547,46636895,clu_2866,clu_2876,chr21:46636547:46636895:+,5,30,35
chr21,46324282,46334396,+,46324282,46334396,clu_2771,clu_2779,chr21:46324282:46334396:+,2,6,8
chr21,25735070,25741572,+,25735070,25741572,clu_270,clu_287,chr21:25735070:25741572:+,6,19,25
chr21,46442573,46445283,+,46442573,46445283,clu_2821,clu_2831,chr21:46442573:46445283:+,1,8,9
chr21,46663554,46664294,+,46663554,46664294,clu_2882,clu_2897,chr21:46663554:46664294:+,6,88,94
chr21,25735385,25741572,+,25735385,25741572,clu_272,clu_287,chr21:25735385:25741572:+,0,5,5
chr21,46286737,46286869,+,46286737,46286869,clu_2736,clu_2740,chr21:46286737:46286869:+,1,27,28
chr21,46661936,46663382,+,46661936,46663382,clu_2881,clu_2895,chr21:46661936:46663382:+,6,78,84
chr21,46649739,46661799,+,46649739,46661799,clu_2876,clu_2894,chr21:46649739:46661799:+,2,8,10
chr21,25741679,25745209,+,25741679,25745209,clu_281,clu_288,chr21:25741679:25745209:+,2,9,11
chr21,46286415,46286869,+,46286415,46286869,clu_2734,clu_2740,chr21:46286415:46286869:+,33,230,263
chr21,46287123,46296161,+,46287123,46296161,clu_2739,clu_2744,chr21:46287123:46296161:+,6,47,53
chr21,46444821,46445283,+,46444821,46445283,clu_2824,clu_2831,chr21:46444821:46445283:+,8,59,67
chr21,46635763,46636895,+,46635763,46636895,clu_2865,clu_2876,chr21:46635763:46636895:+,62,514,576
chr21,5127950,5128410,-,5128410,5127950,clu_2928,clu_2953,chr21:5127950:5128410:-,1,12,13
chr21,6487412,6492130,-,6492130,6487412,clu_3005,clu_3028,chr21:6487412:6492130:-,2,17,19
chr21,25729801,25735486,-,25735486,25729801,clu_273,clu_275,chr21:25729801:25735486:-,23,120,143
chr21,6487412,6493043,-,6493043,6487412,clu_3006,clu_3028,chr21:6487412:6493043:-,1,13,14
chr21,5127950,5128213,-,5128213,5127950,clu_2925,clu_2953,chr21:5127950:5128213:-,196,2018,2214
chr21,25729801,25733267,-,25733267,25729801,clu_260,clu_275,chr21:25729801:25733267:-,0,8,8
chr21,5125992,5128213,-,5128213,5125992,clu_2925,clu_2950,chr21:5125992:5128213:-,2,9,11
chr21,5118847,5124755,-,5124755,5118847,clu_2913,clu_2928,chr21:5118847:5124755:-,5,60,65
chr21,5125992,5127083,-,5127083,5125992,clu_2919,clu_2950,chr21:5125992:5127083:-,0,7,7
chr21,5118847,5121710,-,5121710,5118847,clu_2907,clu_2928,chr21:5118847:5121710:-,168,1800,1968
chr21,5125992,5127897,-,5127897,5125992,clu_2920,clu_2950,chr21:5125992:5127897:-,198,2054,2252
chr21,25982477,26000014,-,26000014,25982477,clu_304,clu_313,chr21:25982477:26000014:-,1,17,18
chr21,25982477,25997359,-,25997359,25982477,clu_303,clu_313,chr21:25982477:25997359:-,0,7,7
chr21,25729801,25734332,-,25734332,25729801,clu_264,clu_275,chr21:25729801:25734332:-,66,585,651
chr21,25729801,25734988,-,25734988,25729801,clu_269,clu_275,chr21:25729801:25734988:-,81,617,698
chr21,25729801,25734938,-,25734938,25729801,clu_268,clu_275,chr21:25729801:25734938:-,23,176,199
chr21,46318220,46322638,-,46322638,46318220,clu_2763,clu_2770,chr21:46318220:46322638:-,1,9,10
chr21,5116481,5117135,-,5117135,5116481,clu_2897,clu_2915,chr21:5116481:5117135:-,2,30,32
chr21,25729801,25734169,-,25734169,25729801,clu_263,clu_275,chr21:25729801:25734169:-,0,14,14
chr21,25729801,25734852,-,25734852,25729801,clu_266,clu_275,chr21:25729801:25734852:-,594,6392,6986
chr21,5117231,5118690,-,5118690,5117231,clu_2900,clu_2926,chr21:5117231:5118690:-,171,1825,1996
chr21,5117231,5118696,-,5118696,5117231,clu_2901,clu_2926,chr21:5117231:5118696:-,1,8,9
chr21,25729801,25735314,-,25735314,25729801,clu_271,clu_275,chr21:25729801:25735314:-,11,82,93
chr21,46318220,46318784,-,46318784,46318220,clu_2757,clu_2770,chr21:46318220:46318784:-,0,6,6
chr21,5116481,5121710,-,5121710,5116481,clu_2907,clu_2915,chr21:5116481:5121710:-,1,4,5
