chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction
chr21,39380556,39390697,+,39380556,39390697,clu_1641,clu_1684,chr21:39380556:39390697:+,1,22,23
chr21,41426263,41427754,+,41426263,41427754,clu_1732,clu_1767,chr21:41426263:41427754:+,2,10,12
chr21,39380486,39390697,+,39380486,39390697,clu_1640,clu_1684,chr21:39380486:39390697:+,71,668,739
chr21,39391836,39396865,+,39391836,39396865,clu_1652,clu_1690,chr21:39391836:39396865:+,15,144,159
chr21,41446141,41451166,+,41446141,41451166,clu_1747,clu_1783,chr21:41446141:41451166:+,0,5,5
chr21,39393280,39396865,+,39393280,39396865,clu_1653,clu_1690,chr21:39393280:39396865:+,91,950,1041
chr21,39391476,39391768,+,39391476,39391768,clu_1651,clu_1687,chr21:39391476:39391768:+,1,22,23
chr21,41427304,41427754,+,41427304,41427754,clu_1735,clu_1767,chr21:41427304:41427754:+,10,20,30
chr21,39380486,39391768,+,39380486,39391768,clu_1640,clu_1687,chr21:39380486:39391768:+,7,58,65
chr21,39387855,39390697,+,39387855,39390697,clu_1647,clu_1684,chr21:39387855:39390697:+,22,228,250
chr21,39445929,39462374,+,39445929,39462374,clu_1679,clu_1718,chr21:39445929:39462374:+,1,10,11
chr21,39391836,39462374,+,39391836,39462374,clu_1652,clu_1718,chr21:39391836:39462374:+,0,6,6
chr21,39446081,39462374,+,39446081,39462374,clu_1680,clu_1718,chr21:39446081:39462374:+,2,26,28
chr21,39446098,39462374,+,39446098,39462374,clu_1681,clu_1718,chr21:39446098:39462374:+,0,6,6
chr21,39445892,39462374,+,39445892,39462374,clu_1677,clu_1718,chr21:39445892:39462374:+,1,5,6
chr21,39387855,39391768,+,39387855,39391768,clu_1647,clu_1687,chr21:39387855:39391768:+,0,13,13
chr21,39390863,39391768,+,39390863,39391768,clu_1649,clu_1687,chr21:39390863:39391768:+,98,984,1082
chr21,39380646,39390697,+,39380646,39390697,clu_1643,clu_1684,chr21:39380646:39390697:+,0,5,5
chr21,41449295,41451166,+,41449295,41451166,clu_1751,clu_1783,chr21:41449295:41451166:+,7,15,22
chr21,39180406,39181771,-,39181771,39180406,clu_1536,clu_1585,chr21:39180406:39181771:-,1,12,13
chr21,17598824,17601396,-,17601396,17598824,clu_166,clu_167,chr21:17598824:17601396:-,2,4,6
chr21,39345958,39348291,-,39348291,39345958,clu_1622,clu_1669,chr21:39345958:39348291:-,8,63,71
chr21,39345958,39347378,-,39347378,39345958,clu_1616,clu_1669,chr21:39345958:39347378:-,2,10,12
chr21,39345274,39347378,-,39347378,39345274,clu_1616,clu_1667,chr21:39345274:39347378:-,1,40,41
chr21,39180436,39183251,-,39183251,39180436,clu_1542,clu_1587,chr21:39180436:39183251:-,6,140,146
chr21,39345274,39347246,-,39347246,39345274,clu_1615,clu_1667,chr21:39345274:39347246:-,0,10,10
chr21,17598824,17604859,-,17604859,17598824,clu_168,clu_167,chr21:17598824:17604859:-,5,45,50
